method,condition_id,measure,value,count,denominator
resnet18,jpeg_mild,correct_seed_count,3,126,162
resnet18,jpeg_mild,unanimous_failure,True,5,162
resnet18,jpeg_mild,majority_only_failure,True,12,162
resnet18,jpeg_mild,seed_disagreement,True,33,162
resnet18,jpeg_moderate,correct_seed_count,0,9,162
resnet18,jpeg_moderate,correct_seed_count,1,9,162
resnet18,jpeg_moderate,correct_seed_count,2,24,162
resnet18,jpeg_moderate,correct_seed_count,3,120,162
resnet18,jpeg_moderate,unanimous_failure,True,9,162
resnet18,jpeg_moderate,majority_only_failure,True,9,162
resnet18,jpeg_moderate,seed_disagreement,True,36,162
resnet18,jpeg_severe,correct_seed_count,0,11,162
resnet18,jpeg_severe,correct_seed_count,1,17,162
resnet18,jpeg_severe,correct_seed_count,2,25,162
resnet18,jpeg_severe,correct_seed_count,3,109,162
resnet18,jpeg_severe,unanimous_failure,True,11,162
resnet18,jpeg_severe,majority_only_failure,True,17,162
resnet18,jpeg_severe,seed_disagreement,True,47,162
mobilenet_v3_small,clean,correct_seed_count,0,13,162
mobilenet_v3_small,clean,correct_seed_count,1,4,162
mobilenet_v3_small,clean,correct_seed_count,2,10,162
mobilenet_v3_small,clean,correct_seed_count,3,135,162
mobilenet_v3_small,clean,unanimous_failure,True,13,162
mobilenet_v3_small,clean,majority_only_failure,True,4,162
mobilenet_v3_small,clean,seed_disagreement,True,19,162
mobilenet_v3_small,gaussian_blur_mild,correct_seed_count,0,12,162
mobilenet_v3_small,gaussian_blur_mild,correct_seed_count,1,7,162
mobilenet_v3_small,gaussian_blur_mild,correct_seed_count,2,13,162
mobilenet_v3_small,gaussian_blur_mild,correct_seed_count,3,130,162
mobilenet_v3_small,gaussian_blur_mild,unanimous_failure,True,12,162
mobilenet_v3_small,gaussian_blur_mild,majority_only_failure,True,7,162
mobilenet_v3_small,gaussian_blur_mild,seed_disagreement,True,24,162
mobilenet_v3_small,gaussian_blur_moderate,correct_seed_count,0,12,162
mobilenet_v3_small,gaussian_blur_moderate,correct_seed_count,1,14,162
mobilenet_v3_small,gaussian_blur_moderate,correct_seed_count,2,15,162
mobilenet_v3_small,gaussian_blur_moderate,correct_seed_count,3,121,162
mobilenet_v3_small,gaussian_blur_moderate,unanimous_failure,True,12,162
mobilenet_v3_small,gaussian_blur_moderate,majority_only_failure,True,14,162
mobilenet_v3_small,gaussian_blur_moderate,seed_disagreement,True,33,162
mobilenet_v3_small,gaussian_blur_severe,correct_seed_count,0,28,162
mobilenet_v3_small,gaussian_blur_severe,correct_seed_count,1,20,162
mobilenet_v3_small,gaussian_blur_severe,correct_seed_count,2,26,162
mobilenet_v3_small,gaussian_blur_severe,correct_seed_count,3,88,162
mobilenet_v3_small,gaussian_blur_severe,unanimous_failure,True,28,162
mobilenet_v3_small,gaussian_blur_severe,majority_only_failure,True,20,162
mobilenet_v3_small,gaussian_blur_severe,seed_disagreement,True,52,162
mobilenet_v3_small,resolution_mild,correct_seed_count,0,13,162
mobilenet_v3_small,resolution_mild,correct_seed_count,1,7,162
mobilenet_v3_small,resolution_mild,correct_seed_count,2,12,162
mobilenet_v3_small,resolution_mild,correct_seed_count,3,130,162
mobilenet_v3_small,resolution_mild,unanimous_failure,True,13,162
mobilenet_v3_small,resolution_mild,majority_only_failure,True,7,162
mobilenet_v3_small,resolution_mild,seed_disagreement,True,24,162
mobilenet_v3_small,resolution_moderate,correct_seed_count,0,16,162
mobilenet_v3_small,resolution_moderate,correct_seed_count,1,6,162
mobilenet_v3_small,resolution_moderate,correct_seed_count,2,13,162
mobilenet_v3_small,resolution_moderate,correct_seed_count,3,127,162
mobilenet_v3_small,resolution_moderate,unanimous_failure,True,16,162
mobilenet_v3_small,resolution_moderate,majority_only_failure,True,6,162
mobilenet_v3_small,resolution_moderate,seed_disagreement,True,24,162
mobilenet_v3_small,resolution_severe,correct_seed_count,0,26,162
mobilenet_v3_small,resolution_severe,correct_seed_count,1,11,162
mobilenet_v3_small,resolution_severe,correct_seed_count,2,20,162
mobilenet_v3_small,resolution_severe,correct_seed_count,3,105,162
mobilenet_v3_small,resolution_severe,unanimous_failure,True,26,162
mobilenet_v3_small,resolution_severe,majority_only_failure,True,11,162
mobilenet_v3_small,resolution_severe,seed_disagreement,True,37,162
mobilenet_v3_small,brightness_mild,correct_seed_count,0,14,162
mobilenet_v3_small,brightness_mild,correct_seed_count,1,6,162
mobilenet_v3_small,brightness_mild,correct_seed_count,2,10,162
mobilenet_v3_small,brightness_mild,correct_seed_count,3,132,162
mobilenet_v3_small,brightness_mild,unanimous_failure,True,14,162
mobilenet_v3_small,brightness_mild,majority_only_failure,True,6,162
mobilenet_v3_small,brightness_mild,seed_disagreement,True,22,162
mobilenet_v3_small,brightness_moderate,correct_seed_count,0,17,162
mobilenet_v3_small,brightness_moderate,correct_seed_count,1,6,162
mobilenet_v3_small,brightness_moderate,correct_seed_count,2,13,162
mobilenet_v3_small,brightness_moderate,correct_seed_count,3,126,162
mobilenet_v3_small,brightness_moderate,unanimous_failure,True,17,162
mobilenet_v3_small,brightness_moderate,majority_only_failure,True,6,162
mobilenet_v3_small,brightness_moderate,seed_disagreement,True,26,162
mobilenet_v3_small,brightness_severe,correct_seed_count,0,27,162
mobilenet_v3_small,brightness_severe,correct_seed_count,1,22,162
mobilenet_v3_small,brightness_severe,correct_seed_count,2,19,162
mobilenet_v3_small,brightness_severe,correct_seed_count,3,94,162
mobilenet_v3_small,brightness_severe,unanimous_failure,True,27,162
mobilenet_v3_small,brightness_severe,majority_only_failure,True,22,162
mobilenet_v3_small,brightness_severe,seed_disagreement,True,55,162
mobilenet_v3_small,jpeg_mild,correct_seed_count,0,15,162
mobilenet_v3_small,jpeg_mild,correct_seed_count,1,5,162
mobilenet_v3_small,jpeg_mild,correct_seed_count,2,15,162
mobilenet_v3_small,jpeg_mild,correct_seed_count,3,127,162
mobilenet_v3_small,jpeg_mild,unanimous_failure,True,15,162
mobilenet_v3_small,jpeg_mild,majority_only_failure,True,5,162
mobilenet_v3_small,jpeg_mild,seed_disagreement,True,26,162
mobilenet_v3_small,jpeg_moderate,correct_seed_count,0,17,162
mobilenet_v3_small,jpeg_moderate,correct_seed_count,1,6,162
mobilenet_v3_small,jpeg_moderate,correct_seed_count,2,15,162
mobilenet_v3_small,jpeg_moderate,correct_seed_count,3,124,162
mobilenet_v3_small,jpeg_moderate,unanimous_failure,True,17,162
mobilenet_v3_small,jpeg_moderate,majority_only_failure,True,6,162
mobilenet_v3_small,jpeg_moderate,seed_disagreement,True,27,162
mobilenet_v3_small,jpeg_severe,correct_seed_count,0,19,162
mobilenet_v3_small,jpeg_severe,correct_seed_count,1,14,162
mobilenet_v3_small,jpeg_severe,correct_seed_count,2,12,162
mobilenet_v3_small,jpeg_severe,correct_seed_count,3,117,162
mobilenet_v3_small,jpeg_severe,unanimous_failure,True,19,162
mobilenet_v3_small,jpeg_severe,majority_only_failure,True,14,162
mobilenet_v3_small,jpeg_severe,seed_disagreement,True,33,162
