source_image_id,split,group_unit
45,train,source_image_after_curated_duplicate_group_exclusion
46,test,source_image_after_curated_duplicate_group_exclusion
47,train,source_image_after_curated_duplicate_group_exclusion
48,test,source_image_after_curated_duplicate_group_exclusion
49,train,source_image_after_curated_duplicate_group_exclusion
50,train,source_image_after_curated_duplicate_group_exclusion
51,test,source_image_after_curated_duplicate_group_exclusion
52,train,source_image_after_curated_duplicate_group_exclusion
53,train,source_image_after_curated_duplicate_group_exclusion
54,test,source_image_after_curated_duplicate_group_exclusion
55,validation,source_image_after_curated_duplicate_group_exclusion
56,train,source_image_after_curated_duplicate_group_exclusion
57,test,source_image_after_curated_duplicate_group_exclusion
58,train,source_image_after_curated_duplicate_group_exclusion
59,validation,source_image_after_curated_duplicate_group_exclusion
60,validation,source_image_after_curated_duplicate_group_exclusion
61,test,source_image_after_curated_duplicate_group_exclusion
62,validation,source_image_after_curated_duplicate_group_exclusion
63,train,source_image_after_curated_duplicate_group_exclusion
64,train,source_image_after_curated_duplicate_group_exclusion
65,test,source_image_after_curated_duplicate_group_exclusion
66,train,source_image_after_curated_duplicate_group_exclusion
67,test,source_image_after_curated_duplicate_group_exclusion
68,train,source_image_after_curated_duplicate_group_exclusion
69,validation,source_image_after_curated_duplicate_group_exclusion
70,validation,source_image_after_curated_duplicate_group_exclusion
71,test,source_image_after_curated_duplicate_group_exclusion
72,validation,source_image_after_curated_duplicate_group_exclusion
73,test,source_image_after_curated_duplicate_group_exclusion
74,train,source_image_after_curated_duplicate_group_exclusion
75,train,source_image_after_curated_duplicate_group_exclusion
76,train,source_image_after_curated_duplicate_group_exclusion
77,validation,source_image_after_curated_duplicate_group_exclusion
78,train,source_image_after_curated_duplicate_group_exclusion
79,train,source_image_after_curated_duplicate_group_exclusion
81,test,source_image_after_curated_duplicate_group_exclusion
82,train,source_image_after_curated_duplicate_group_exclusion
83,train,source_image_after_curated_duplicate_group_exclusion
84,train,source_image_after_curated_duplicate_group_exclusion
85,train,source_image_after_curated_duplicate_group_exclusion
86,train,source_image_after_curated_duplicate_group_exclusion
87,validation,source_image_after_curated_duplicate_group_exclusion
88,test,source_image_after_curated_duplicate_group_exclusion
89,train,source_image_after_curated_duplicate_group_exclusion
90,train,source_image_after_curated_duplicate_group_exclusion
91,train,source_image_after_curated_duplicate_group_exclusion
92,train,source_image_after_curated_duplicate_group_exclusion
93,test,source_image_after_curated_duplicate_group_exclusion
94,train,source_image_after_curated_duplicate_group_exclusion
95,train,source_image_after_curated_duplicate_group_exclusion
96,validation,source_image_after_curated_duplicate_group_exclusion
97,train,source_image_after_curated_duplicate_group_exclusion
99,validation,source_image_after_curated_duplicate_group_exclusion
100,validation,source_image_after_curated_duplicate_group_exclusion
101,train,source_image_after_curated_duplicate_group_exclusion
102,train,source_image_after_curated_duplicate_group_exclusion
103,test,source_image_after_curated_duplicate_group_exclusion
104,train,source_image_after_curated_duplicate_group_exclusion
106,train,source_image_after_curated_duplicate_group_exclusion
107,train,source_image_after_curated_duplicate_group_exclusion
108,validation,source_image_after_curated_duplicate_group_exclusion
109,train,source_image_after_curated_duplicate_group_exclusion
110,train,source_image_after_curated_duplicate_group_exclusion
111,validation,source_image_after_curated_duplicate_group_exclusion
112,test,source_image_after_curated_duplicate_group_exclusion
113,train,source_image_after_curated_duplicate_group_exclusion
114,validation,source_image_after_curated_duplicate_group_exclusion
115,train,source_image_after_curated_duplicate_group_exclusion
116,train,source_image_after_curated_duplicate_group_exclusion
117,validation,source_image_after_curated_duplicate_group_exclusion
118,train,source_image_after_curated_duplicate_group_exclusion
119,train,source_image_after_curated_duplicate_group_exclusion
120,train,source_image_after_curated_duplicate_group_exclusion
121,train,source_image_after_curated_duplicate_group_exclusion
122,train,source_image_after_curated_duplicate_group_exclusion
123,validation,source_image_after_curated_duplicate_group_exclusion
124,train,source_image_after_curated_duplicate_group_exclusion
125,train,source_image_after_curated_duplicate_group_exclusion
126,train,source_image_after_curated_duplicate_group_exclusion
127,train,source_image_after_curated_duplicate_group_exclusion
128,validation,source_image_after_curated_duplicate_group_exclusion
129,train,source_image_after_curated_duplicate_group_exclusion
130,train,source_image_after_curated_duplicate_group_exclusion
131,validation,source_image_after_curated_duplicate_group_exclusion
132,train,source_image_after_curated_duplicate_group_exclusion
133,train,source_image_after_curated_duplicate_group_exclusion
134,train,source_image_after_curated_duplicate_group_exclusion
136,train,source_image_after_curated_duplicate_group_exclusion
138,train,source_image_after_curated_duplicate_group_exclusion
140,train,source_image_after_curated_duplicate_group_exclusion
142,test,source_image_after_curated_duplicate_group_exclusion
143,validation,source_image_after_curated_duplicate_group_exclusion
144,train,source_image_after_curated_duplicate_group_exclusion
145,train,source_image_after_curated_duplicate_group_exclusion
146,test,source_image_after_curated_duplicate_group_exclusion
147,train,source_image_after_curated_duplicate_group_exclusion
148,train,source_image_after_curated_duplicate_group_exclusion
149,train,source_image_after_curated_duplicate_group_exclusion
151,train,source_image_after_curated_duplicate_group_exclusion
152,train,source_image_after_curated_duplicate_group_exclusion
153,train,source_image_after_curated_duplicate_group_exclusion
154,train,source_image_after_curated_duplicate_group_exclusion
155,train,source_image_after_curated_duplicate_group_exclusion
156,test,source_image_after_curated_duplicate_group_exclusion
157,train,source_image_after_curated_duplicate_group_exclusion
158,train,source_image_after_curated_duplicate_group_exclusion
159,train,source_image_after_curated_duplicate_group_exclusion
160,train,source_image_after_curated_duplicate_group_exclusion
161,test,source_image_after_curated_duplicate_group_exclusion
162,train,source_image_after_curated_duplicate_group_exclusion
163,test,source_image_after_curated_duplicate_group_exclusion
164,train,source_image_after_curated_duplicate_group_exclusion
165,validation,source_image_after_curated_duplicate_group_exclusion
166,test,source_image_after_curated_duplicate_group_exclusion
167,test,source_image_after_curated_duplicate_group_exclusion
168,train,source_image_after_curated_duplicate_group_exclusion
169,validation,source_image_after_curated_duplicate_group_exclusion
170,train,source_image_after_curated_duplicate_group_exclusion
171,train,source_image_after_curated_duplicate_group_exclusion
172,train,source_image_after_curated_duplicate_group_exclusion
173,train,source_image_after_curated_duplicate_group_exclusion
176,train,source_image_after_curated_duplicate_group_exclusion
177,train,source_image_after_curated_duplicate_group_exclusion
178,test,source_image_after_curated_duplicate_group_exclusion
180,train,source_image_after_curated_duplicate_group_exclusion
181,train,source_image_after_curated_duplicate_group_exclusion
182,validation,source_image_after_curated_duplicate_group_exclusion
183,train,source_image_after_curated_duplicate_group_exclusion
184,train,source_image_after_curated_duplicate_group_exclusion
185,train,source_image_after_curated_duplicate_group_exclusion
186,train,source_image_after_curated_duplicate_group_exclusion
187,validation,source_image_after_curated_duplicate_group_exclusion
188,train,source_image_after_curated_duplicate_group_exclusion
190,train,source_image_after_curated_duplicate_group_exclusion
192,train,source_image_after_curated_duplicate_group_exclusion
193,train,source_image_after_curated_duplicate_group_exclusion
194,validation,source_image_after_curated_duplicate_group_exclusion
195,train,source_image_after_curated_duplicate_group_exclusion
198,test,source_image_after_curated_duplicate_group_exclusion
199,train,source_image_after_curated_duplicate_group_exclusion
200,train,source_image_after_curated_duplicate_group_exclusion
201,train,source_image_after_curated_duplicate_group_exclusion
203,validation,source_image_after_curated_duplicate_group_exclusion
204,train,source_image_after_curated_duplicate_group_exclusion
205,validation,source_image_after_curated_duplicate_group_exclusion
206,train,source_image_after_curated_duplicate_group_exclusion
207,train,source_image_after_curated_duplicate_group_exclusion
208,train,source_image_after_curated_duplicate_group_exclusion
209,test,source_image_after_curated_duplicate_group_exclusion
211,train,source_image_after_curated_duplicate_group_exclusion
212,train,source_image_after_curated_duplicate_group_exclusion
213,train,source_image_after_curated_duplicate_group_exclusion
214,test,source_image_after_curated_duplicate_group_exclusion
215,train,source_image_after_curated_duplicate_group_exclusion
216,test,source_image_after_curated_duplicate_group_exclusion
217,test,source_image_after_curated_duplicate_group_exclusion
218,train,source_image_after_curated_duplicate_group_exclusion
219,validation,source_image_after_curated_duplicate_group_exclusion
220,train,source_image_after_curated_duplicate_group_exclusion
221,train,source_image_after_curated_duplicate_group_exclusion
222,train,source_image_after_curated_duplicate_group_exclusion
223,train,source_image_after_curated_duplicate_group_exclusion
224,test,source_image_after_curated_duplicate_group_exclusion
225,validation,source_image_after_curated_duplicate_group_exclusion
226,train,source_image_after_curated_duplicate_group_exclusion
227,train,source_image_after_curated_duplicate_group_exclusion
228,test,source_image_after_curated_duplicate_group_exclusion
229,train,source_image_after_curated_duplicate_group_exclusion
230,validation,source_image_after_curated_duplicate_group_exclusion
231,train,source_image_after_curated_duplicate_group_exclusion
232,train,source_image_after_curated_duplicate_group_exclusion
234,test,source_image_after_curated_duplicate_group_exclusion
236,train,source_image_after_curated_duplicate_group_exclusion
237,train,source_image_after_curated_duplicate_group_exclusion
238,test,source_image_after_curated_duplicate_group_exclusion
239,train,source_image_after_curated_duplicate_group_exclusion
240,train,source_image_after_curated_duplicate_group_exclusion
241,train,source_image_after_curated_duplicate_group_exclusion
242,train,source_image_after_curated_duplicate_group_exclusion
243,validation,source_image_after_curated_duplicate_group_exclusion
244,train,source_image_after_curated_duplicate_group_exclusion
246,validation,source_image_after_curated_duplicate_group_exclusion
247,train,source_image_after_curated_duplicate_group_exclusion
248,validation,source_image_after_curated_duplicate_group_exclusion
250,test,source_image_after_curated_duplicate_group_exclusion
251,train,source_image_after_curated_duplicate_group_exclusion
252,test,source_image_after_curated_duplicate_group_exclusion
254,validation,source_image_after_curated_duplicate_group_exclusion
255,test,source_image_after_curated_duplicate_group_exclusion
257,test,source_image_after_curated_duplicate_group_exclusion
258,train,source_image_after_curated_duplicate_group_exclusion
259,train,source_image_after_curated_duplicate_group_exclusion
260,train,source_image_after_curated_duplicate_group_exclusion
261,train,source_image_after_curated_duplicate_group_exclusion
262,train,source_image_after_curated_duplicate_group_exclusion
265,train,source_image_after_curated_duplicate_group_exclusion
266,train,source_image_after_curated_duplicate_group_exclusion
267,train,source_image_after_curated_duplicate_group_exclusion
268,train,source_image_after_curated_duplicate_group_exclusion
269,test,source_image_after_curated_duplicate_group_exclusion
270,train,source_image_after_curated_duplicate_group_exclusion
272,train,source_image_after_curated_duplicate_group_exclusion
273,test,source_image_after_curated_duplicate_group_exclusion
276,test,source_image_after_curated_duplicate_group_exclusion
277,train,source_image_after_curated_duplicate_group_exclusion
278,train,source_image_after_curated_duplicate_group_exclusion
279,train,source_image_after_curated_duplicate_group_exclusion
280,train,source_image_after_curated_duplicate_group_exclusion
281,train,source_image_after_curated_duplicate_group_exclusion
282,train,source_image_after_curated_duplicate_group_exclusion
283,train,source_image_after_curated_duplicate_group_exclusion
284,test,source_image_after_curated_duplicate_group_exclusion
285,test,source_image_after_curated_duplicate_group_exclusion
286,train,source_image_after_curated_duplicate_group_exclusion
287,train,source_image_after_curated_duplicate_group_exclusion
288,train,source_image_after_curated_duplicate_group_exclusion
289,train,source_image_after_curated_duplicate_group_exclusion
290,train,source_image_after_curated_duplicate_group_exclusion
291,train,source_image_after_curated_duplicate_group_exclusion
292,train,source_image_after_curated_duplicate_group_exclusion
293,train,source_image_after_curated_duplicate_group_exclusion
294,train,source_image_after_curated_duplicate_group_exclusion
295,train,source_image_after_curated_duplicate_group_exclusion
297,train,source_image_after_curated_duplicate_group_exclusion
299,train,source_image_after_curated_duplicate_group_exclusion
300,validation,source_image_after_curated_duplicate_group_exclusion
301,train,source_image_after_curated_duplicate_group_exclusion
302,train,source_image_after_curated_duplicate_group_exclusion
303,train,source_image_after_curated_duplicate_group_exclusion
304,train,source_image_after_curated_duplicate_group_exclusion
306,train,source_image_after_curated_duplicate_group_exclusion
308,train,source_image_after_curated_duplicate_group_exclusion
309,train,source_image_after_curated_duplicate_group_exclusion
310,train,source_image_after_curated_duplicate_group_exclusion
311,train,source_image_after_curated_duplicate_group_exclusion
312,train,source_image_after_curated_duplicate_group_exclusion
313,train,source_image_after_curated_duplicate_group_exclusion
314,validation,source_image_after_curated_duplicate_group_exclusion
315,train,source_image_after_curated_duplicate_group_exclusion
316,train,source_image_after_curated_duplicate_group_exclusion
317,train,source_image_after_curated_duplicate_group_exclusion
318,test,source_image_after_curated_duplicate_group_exclusion
321,train,source_image_after_curated_duplicate_group_exclusion
322,test,source_image_after_curated_duplicate_group_exclusion
323,test,source_image_after_curated_duplicate_group_exclusion
324,train,source_image_after_curated_duplicate_group_exclusion
325,train,source_image_after_curated_duplicate_group_exclusion
326,test,source_image_after_curated_duplicate_group_exclusion
327,train,source_image_after_curated_duplicate_group_exclusion
329,train,source_image_after_curated_duplicate_group_exclusion
330,train,source_image_after_curated_duplicate_group_exclusion
331,validation,source_image_after_curated_duplicate_group_exclusion
332,test,source_image_after_curated_duplicate_group_exclusion
333,train,source_image_after_curated_duplicate_group_exclusion
334,train,source_image_after_curated_duplicate_group_exclusion
336,train,source_image_after_curated_duplicate_group_exclusion
337,train,source_image_after_curated_duplicate_group_exclusion
338,validation,source_image_after_curated_duplicate_group_exclusion
339,train,source_image_after_curated_duplicate_group_exclusion
340,train,source_image_after_curated_duplicate_group_exclusion
342,train,source_image_after_curated_duplicate_group_exclusion
344,train,source_image_after_curated_duplicate_group_exclusion
345,train,source_image_after_curated_duplicate_group_exclusion
346,validation,source_image_after_curated_duplicate_group_exclusion
347,validation,source_image_after_curated_duplicate_group_exclusion
350,train,source_image_after_curated_duplicate_group_exclusion
351,train,source_image_after_curated_duplicate_group_exclusion
354,train,source_image_after_curated_duplicate_group_exclusion
356,train,source_image_after_curated_duplicate_group_exclusion
357,train,source_image_after_curated_duplicate_group_exclusion
358,train,source_image_after_curated_duplicate_group_exclusion
360,train,source_image_after_curated_duplicate_group_exclusion
362,validation,source_image_after_curated_duplicate_group_exclusion
363,test,source_image_after_curated_duplicate_group_exclusion
364,train,source_image_after_curated_duplicate_group_exclusion
365,train,source_image_after_curated_duplicate_group_exclusion
367,train,source_image_after_curated_duplicate_group_exclusion
368,train,source_image_after_curated_duplicate_group_exclusion
369,train,source_image_after_curated_duplicate_group_exclusion
370,test,source_image_after_curated_duplicate_group_exclusion
371,validation,source_image_after_curated_duplicate_group_exclusion
372,train,source_image_after_curated_duplicate_group_exclusion
373,test,source_image_after_curated_duplicate_group_exclusion
374,train,source_image_after_curated_duplicate_group_exclusion
375,train,source_image_after_curated_duplicate_group_exclusion
376,train,source_image_after_curated_duplicate_group_exclusion
377,train,source_image_after_curated_duplicate_group_exclusion
379,test,source_image_after_curated_duplicate_group_exclusion
380,train,source_image_after_curated_duplicate_group_exclusion
381,train,source_image_after_curated_duplicate_group_exclusion
382,validation,source_image_after_curated_duplicate_group_exclusion
383,train,source_image_after_curated_duplicate_group_exclusion
384,train,source_image_after_curated_duplicate_group_exclusion
385,train,source_image_after_curated_duplicate_group_exclusion
386,train,source_image_after_curated_duplicate_group_exclusion
387,train,source_image_after_curated_duplicate_group_exclusion
388,test,source_image_after_curated_duplicate_group_exclusion
389,test,source_image_after_curated_duplicate_group_exclusion
390,test,source_image_after_curated_duplicate_group_exclusion
391,train,source_image_after_curated_duplicate_group_exclusion
392,train,source_image_after_curated_duplicate_group_exclusion
393,train,source_image_after_curated_duplicate_group_exclusion
394,test,source_image_after_curated_duplicate_group_exclusion
395,train,source_image_after_curated_duplicate_group_exclusion
397,train,source_image_after_curated_duplicate_group_exclusion
398,train,source_image_after_curated_duplicate_group_exclusion
400,train,source_image_after_curated_duplicate_group_exclusion
401,train,source_image_after_curated_duplicate_group_exclusion
403,train,source_image_after_curated_duplicate_group_exclusion
404,train,source_image_after_curated_duplicate_group_exclusion
405,test,source_image_after_curated_duplicate_group_exclusion
406,train,source_image_after_curated_duplicate_group_exclusion
407,test,source_image_after_curated_duplicate_group_exclusion
408,test,source_image_after_curated_duplicate_group_exclusion
409,train,source_image_after_curated_duplicate_group_exclusion
410,test,source_image_after_curated_duplicate_group_exclusion
411,train,source_image_after_curated_duplicate_group_exclusion
412,validation,source_image_after_curated_duplicate_group_exclusion
413,train,source_image_after_curated_duplicate_group_exclusion
414,train,source_image_after_curated_duplicate_group_exclusion
415,train,source_image_after_curated_duplicate_group_exclusion
416,validation,source_image_after_curated_duplicate_group_exclusion
417,train,source_image_after_curated_duplicate_group_exclusion
418,train,source_image_after_curated_duplicate_group_exclusion
419,train,source_image_after_curated_duplicate_group_exclusion
420,validation,source_image_after_curated_duplicate_group_exclusion
421,train,source_image_after_curated_duplicate_group_exclusion
422,train,source_image_after_curated_duplicate_group_exclusion
423,train,source_image_after_curated_duplicate_group_exclusion
424,train,source_image_after_curated_duplicate_group_exclusion
425,train,source_image_after_curated_duplicate_group_exclusion
426,train,source_image_after_curated_duplicate_group_exclusion
427,train,source_image_after_curated_duplicate_group_exclusion
428,train,source_image_after_curated_duplicate_group_exclusion
429,train,source_image_after_curated_duplicate_group_exclusion
430,train,source_image_after_curated_duplicate_group_exclusion
431,train,source_image_after_curated_duplicate_group_exclusion
432,test,source_image_after_curated_duplicate_group_exclusion
433,validation,source_image_after_curated_duplicate_group_exclusion
434,train,source_image_after_curated_duplicate_group_exclusion
435,train,source_image_after_curated_duplicate_group_exclusion
436,train,source_image_after_curated_duplicate_group_exclusion
437,train,source_image_after_curated_duplicate_group_exclusion
438,test,source_image_after_curated_duplicate_group_exclusion
439,train,source_image_after_curated_duplicate_group_exclusion
440,test,source_image_after_curated_duplicate_group_exclusion
441,validation,source_image_after_curated_duplicate_group_exclusion
442,train,source_image_after_curated_duplicate_group_exclusion
443,train,source_image_after_curated_duplicate_group_exclusion
444,train,source_image_after_curated_duplicate_group_exclusion
446,train,source_image_after_curated_duplicate_group_exclusion
447,test,source_image_after_curated_duplicate_group_exclusion
448,validation,source_image_after_curated_duplicate_group_exclusion
449,train,source_image_after_curated_duplicate_group_exclusion
450,train,source_image_after_curated_duplicate_group_exclusion
451,test,source_image_after_curated_duplicate_group_exclusion
452,train,source_image_after_curated_duplicate_group_exclusion
453,validation,source_image_after_curated_duplicate_group_exclusion
454,train,source_image_after_curated_duplicate_group_exclusion
455,train,source_image_after_curated_duplicate_group_exclusion
456,train,source_image_after_curated_duplicate_group_exclusion
457,test,source_image_after_curated_duplicate_group_exclusion
458,train,source_image_after_curated_duplicate_group_exclusion
459,validation,source_image_after_curated_duplicate_group_exclusion
461,train,source_image_after_curated_duplicate_group_exclusion
462,validation,source_image_after_curated_duplicate_group_exclusion
463,train,source_image_after_curated_duplicate_group_exclusion
464,test,source_image_after_curated_duplicate_group_exclusion
465,train,source_image_after_curated_duplicate_group_exclusion
467,train,source_image_after_curated_duplicate_group_exclusion
468,train,source_image_after_curated_duplicate_group_exclusion
469,test,source_image_after_curated_duplicate_group_exclusion
470,train,source_image_after_curated_duplicate_group_exclusion
471,train,source_image_after_curated_duplicate_group_exclusion
473,test,source_image_after_curated_duplicate_group_exclusion
474,train,source_image_after_curated_duplicate_group_exclusion
475,train,source_image_after_curated_duplicate_group_exclusion
476,test,source_image_after_curated_duplicate_group_exclusion
477,train,source_image_after_curated_duplicate_group_exclusion
478,validation,source_image_after_curated_duplicate_group_exclusion
479,test,source_image_after_curated_duplicate_group_exclusion
480,train,source_image_after_curated_duplicate_group_exclusion
481,train,source_image_after_curated_duplicate_group_exclusion
482,train,source_image_after_curated_duplicate_group_exclusion
483,train,source_image_after_curated_duplicate_group_exclusion
484,validation,source_image_after_curated_duplicate_group_exclusion
485,train,source_image_after_curated_duplicate_group_exclusion
486,validation,source_image_after_curated_duplicate_group_exclusion
487,train,source_image_after_curated_duplicate_group_exclusion
488,train,source_image_after_curated_duplicate_group_exclusion
489,train,source_image_after_curated_duplicate_group_exclusion
491,train,source_image_after_curated_duplicate_group_exclusion
492,train,source_image_after_curated_duplicate_group_exclusion
493,train,source_image_after_curated_duplicate_group_exclusion
494,train,source_image_after_curated_duplicate_group_exclusion
495,train,source_image_after_curated_duplicate_group_exclusion
496,train,source_image_after_curated_duplicate_group_exclusion
497,validation,source_image_after_curated_duplicate_group_exclusion
498,train,source_image_after_curated_duplicate_group_exclusion
499,train,source_image_after_curated_duplicate_group_exclusion
500,validation,source_image_after_curated_duplicate_group_exclusion
501,test,source_image_after_curated_duplicate_group_exclusion
502,train,source_image_after_curated_duplicate_group_exclusion
503,train,source_image_after_curated_duplicate_group_exclusion
504,train,source_image_after_curated_duplicate_group_exclusion
505,test,source_image_after_curated_duplicate_group_exclusion
507,train,source_image_after_curated_duplicate_group_exclusion
508,train,source_image_after_curated_duplicate_group_exclusion
509,train,source_image_after_curated_duplicate_group_exclusion
510,train,source_image_after_curated_duplicate_group_exclusion
511,test,source_image_after_curated_duplicate_group_exclusion
512,validation,source_image_after_curated_duplicate_group_exclusion
513,train,source_image_after_curated_duplicate_group_exclusion
514,train,source_image_after_curated_duplicate_group_exclusion
515,train,source_image_after_curated_duplicate_group_exclusion
516,train,source_image_after_curated_duplicate_group_exclusion
517,train,source_image_after_curated_duplicate_group_exclusion
518,train,source_image_after_curated_duplicate_group_exclusion
519,validation,source_image_after_curated_duplicate_group_exclusion
520,train,source_image_after_curated_duplicate_group_exclusion
521,test,source_image_after_curated_duplicate_group_exclusion
522,train,source_image_after_curated_duplicate_group_exclusion
523,train,source_image_after_curated_duplicate_group_exclusion
524,train,source_image_after_curated_duplicate_group_exclusion
525,train,source_image_after_curated_duplicate_group_exclusion
526,validation,source_image_after_curated_duplicate_group_exclusion
527,train,source_image_after_curated_duplicate_group_exclusion
528,train,source_image_after_curated_duplicate_group_exclusion
529,validation,source_image_after_curated_duplicate_group_exclusion
530,train,source_image_after_curated_duplicate_group_exclusion
531,train,source_image_after_curated_duplicate_group_exclusion
532,train,source_image_after_curated_duplicate_group_exclusion
533,train,source_image_after_curated_duplicate_group_exclusion
534,train,source_image_after_curated_duplicate_group_exclusion
535,train,source_image_after_curated_duplicate_group_exclusion
536,train,source_image_after_curated_duplicate_group_exclusion
537,train,source_image_after_curated_duplicate_group_exclusion
538,train,source_image_after_curated_duplicate_group_exclusion
539,train,source_image_after_curated_duplicate_group_exclusion
540,validation,source_image_after_curated_duplicate_group_exclusion
541,test,source_image_after_curated_duplicate_group_exclusion
542,train,source_image_after_curated_duplicate_group_exclusion
544,train,source_image_after_curated_duplicate_group_exclusion
545,validation,source_image_after_curated_duplicate_group_exclusion
546,test,source_image_after_curated_duplicate_group_exclusion
547,train,source_image_after_curated_duplicate_group_exclusion
548,train,source_image_after_curated_duplicate_group_exclusion
549,validation,source_image_after_curated_duplicate_group_exclusion
550,train,source_image_after_curated_duplicate_group_exclusion
552,validation,source_image_after_curated_duplicate_group_exclusion
553,train,source_image_after_curated_duplicate_group_exclusion
554,train,source_image_after_curated_duplicate_group_exclusion
555,train,source_image_after_curated_duplicate_group_exclusion
556,train,source_image_after_curated_duplicate_group_exclusion
557,train,source_image_after_curated_duplicate_group_exclusion
558,train,source_image_after_curated_duplicate_group_exclusion
559,train,source_image_after_curated_duplicate_group_exclusion
560,train,source_image_after_curated_duplicate_group_exclusion
561,train,source_image_after_curated_duplicate_group_exclusion
562,validation,source_image_after_curated_duplicate_group_exclusion
563,test,source_image_after_curated_duplicate_group_exclusion
564,train,source_image_after_curated_duplicate_group_exclusion
565,train,source_image_after_curated_duplicate_group_exclusion
566,test,source_image_after_curated_duplicate_group_exclusion
569,test,source_image_after_curated_duplicate_group_exclusion
571,train,source_image_after_curated_duplicate_group_exclusion
572,train,source_image_after_curated_duplicate_group_exclusion
573,train,source_image_after_curated_duplicate_group_exclusion
574,test,source_image_after_curated_duplicate_group_exclusion
575,train,source_image_after_curated_duplicate_group_exclusion
576,train,source_image_after_curated_duplicate_group_exclusion
577,train,source_image_after_curated_duplicate_group_exclusion
578,train,source_image_after_curated_duplicate_group_exclusion
579,train,source_image_after_curated_duplicate_group_exclusion
580,test,source_image_after_curated_duplicate_group_exclusion
581,train,source_image_after_curated_duplicate_group_exclusion
583,train,source_image_after_curated_duplicate_group_exclusion
584,validation,source_image_after_curated_duplicate_group_exclusion
585,train,source_image_after_curated_duplicate_group_exclusion
587,train,source_image_after_curated_duplicate_group_exclusion
588,train,source_image_after_curated_duplicate_group_exclusion
589,train,source_image_after_curated_duplicate_group_exclusion
590,validation,source_image_after_curated_duplicate_group_exclusion
591,test,source_image_after_curated_duplicate_group_exclusion
592,train,source_image_after_curated_duplicate_group_exclusion
595,train,source_image_after_curated_duplicate_group_exclusion
596,train,source_image_after_curated_duplicate_group_exclusion
597,test,source_image_after_curated_duplicate_group_exclusion
598,test,source_image_after_curated_duplicate_group_exclusion
599,train,source_image_after_curated_duplicate_group_exclusion
600,test,source_image_after_curated_duplicate_group_exclusion
601,train,source_image_after_curated_duplicate_group_exclusion
602,validation,source_image_after_curated_duplicate_group_exclusion
603,train,source_image_after_curated_duplicate_group_exclusion
604,train,source_image_after_curated_duplicate_group_exclusion
606,train,source_image_after_curated_duplicate_group_exclusion
607,train,source_image_after_curated_duplicate_group_exclusion
608,train,source_image_after_curated_duplicate_group_exclusion
609,train,source_image_after_curated_duplicate_group_exclusion
610,test,source_image_after_curated_duplicate_group_exclusion
611,train,source_image_after_curated_duplicate_group_exclusion
612,train,source_image_after_curated_duplicate_group_exclusion
613,validation,source_image_after_curated_duplicate_group_exclusion
614,train,source_image_after_curated_duplicate_group_exclusion
615,train,source_image_after_curated_duplicate_group_exclusion
616,train,source_image_after_curated_duplicate_group_exclusion
617,train,source_image_after_curated_duplicate_group_exclusion
618,train,source_image_after_curated_duplicate_group_exclusion
619,train,source_image_after_curated_duplicate_group_exclusion
620,train,source_image_after_curated_duplicate_group_exclusion
