source_image_id,filename,split,width,height,sha256,pixel_sha256,annotation_source,number_of_boxes,number_of_classes
52,52.jpg,train,1024,1024,fa5a91aa3c842464cc5ed767ad6578859fd35f321e9f4be2eb6ef629eace16c5,55dcf95576f56b569be9e898ae3378393019d3d87f78ec9a99e21ab2bbbdf1c7,primary,1,1
53,53.jpg,train,1024,1024,d4d674a47bc1e4549297e3ed197b5ead5454b2b53e3944df64166f92be08fefe,270cd5057b9a986ecdd1f2060026e1be478d9a5ab6b994aa7db18d11ce0925b4,primary,1,1
54,54.jpg,test,1024,1024,5183b3986ea2067c566d5a777d788750dd0f762e3dd051606d3a0bcd168b9d27,ca136811e041b663f831a5e62fc2256314f1831ef5fbeb656fc7bcb8df3d7204,primary,2,1
55,55.jpg,validation,1024,1024,a83701eb9a76665cd3e45c6200d457d6795bf8a474513505dcdc4562b264be35,0b8bd8f92762f568ea41efe9aa7adad2200ae554bba00cd4bfbc3bde018e4bd4,primary,1,1
56,56.jpg,train,1024,1024,f5fba4ed668226386b0f519c8550aa26e382a8a39b3254a730692d382f976055,70e477819a519d5f3f3b7d3463285d76faf7ac3538c02f5fdfc7f6f6cf668b27,primary,4,1
57,57.jpg,test,1024,1024,69cbcbfc0f4fd6a06e9bf33161bb147cf5e66c5097307bb8920d9cbee53aa82b,b1c34ce32241f2e978688c26c84ec658cec3c907fc3aebfa4cceccf6b35ce061,primary,2,2
58,58.jpg,train,1024,1024,cd6355ac9e90a33056a2a4eb327e762ee1349d4c7f99343de90365f8094e913b,a85b40bec96d5366eba934b5f7af765c503a67992e7c280916cb38a1965c86f5,primary,1,1
59,59.jpg,validation,1024,1024,760c65bbc066a994e15fd3f3b04fc4a4d63029016ce0f1f6e4cfba28eb1aa1ef,b34d9d08372eeb147f6e7ca2e50b6b1a6a1ae63ab5e8a338bb732c0b0927df62,primary,1,1
60,60.jpg,validation,1024,1024,1580d16805bdd2b85c3021d4ce1083357db0dbef1a812452632fe92470c8c229,9acb8b2c6d100648e50d3f0ab1a6b9c3d6189f312bb9d0bf0716e0520ecfa3d9,primary,2,2
61,61.jpg,test,1024,1024,3502f5974d65f158802582844b7ecad792d685543b8e9d820317bf08918cd3ca,6d30a0ff3cc3ebf817a097a44af4fc09fd0074e9c1124d94123fc0e39984d362,primary,3,1
62,62.jpg,validation,1024,1024,1480a69bd1ad9fa3a5bf3777e9e1a57abb3b70b88c4ee67c90e6cc11e12dbffa,8f4e8843e3abda8d78502e6e2b331ce21cb24ab7a75045a075f594bce11c6e66,primary,2,2
63,63.jpg,train,1024,1024,7ff936a5b77b340ed59fc6a3e2d1fa88fd86fb86c134149f1914874dbf9772ed,3349720425e2d3e6041d17494b1f9f2dab826f1dee1e9eef22f91b4b9e824044,primary,2,1
64,64.jpg,train,1024,1024,78069012304cebf3c6e5a5875a734a2ec1c4f2499f037b3434c5670b3f5b8d55,8e7245df786edd9fefa0f23e9daab5cf7430ec5f99b8937457b2f8d3de8410c0,primary,1,1
65,65.jpg,test,1024,1024,8ff2983284bffe8a8d3cf9b912d5bf813b220b48f869560ac9893affc86898d7,6f000ee6ec19e356040a124d2fccb2aa1212e1c81e9005100df274dcf87d57b3,primary,1,1
66,66.jpg,train,1024,1024,8ce21311247ac2749accea15751084ac4f53481b547f65fb791cb6acd023246a,eb5fcb252df0c148bd6754054ad32ebc8adcb39a19209f2029d783e71f2d837b,primary,2,1
67,67.jpg,test,1024,1024,4a4a7ee8f01d53cb473f61fcf0f334af32dad86c78b034ee7ba02592c647565c,06a0370a4714d4c36744933fb486e2817bdbecb7bd6ef43fd95727cf6822fb88,primary,1,1
68,68.jpg,train,1024,1024,fcdc3ac634500b63b9217aceedaf4435beb08854115c130b5d7b31c28d64f5cc,f11dc2106dcd0510bbeaf5a3d239f0fec28b804a683dbae493ca0b69c228847a,primary,2,1
69,69.jpg,validation,1024,1024,a2bc9d418b9d4304aee4cad2a7f90ced432644ee3f4257f233f1379f0acc1e7c,25531fb027c891574196267345d807d6ef3f9182eaa55f1065662bf647e40d22,primary,2,1
70,70.jpg,validation,1024,1024,75c138f4c56a177242d0863c1500b1c04d167b7ff051cb096aedfa0b748ce39e,5a691c7ef002cb3fac1e12c283b1f832f65b3a0acd11357c998a83391ff2a5e7,primary,2,1
71,71.jpg,test,1024,1024,75bbbaa02951587dd92e6ba49a30ff4afbe5c2163c7ed666b7197a89504eac73,78b35476edc0c998902230b5caa36d7a44f38cda58df2ae856d7904a7803f160,primary,1,1
72,72.jpg,validation,1024,1024,4489afe5514093241e4f31a610299db842ad6085f3c8e75089b009a8c63a4789,6691de1ff11fe55be6c510b3830b9652e024f69221023cd934f339e51ca6bd51,primary,1,1
73,73.jpg,test,1024,1024,ced7416a8431908bb14ae30b09631e9d35ffac896bfdeb70380223cc31efb612,8a8219fef5d857cfe39b3cc50974d48d981c8bca159244e55d5a9d27a5506b89,primary,1,1
74,74.jpg,train,1024,1024,3f65bdbcf604440e13f02b08b95dafecb3b7d64720de8dc01dd6c81c917d0609,6fbbe81bbe1e72d2aa2e0362cbe390d728607593c948e6adb6ca230a6fc6f6cf,primary,1,1
75,75.jpg,train,1024,1024,a6756addf0231053f260dc7bd275e6a305ef1391be25a8845e8c220115bc5e83,088050976d9c653ec942be87643c0f8df30fcb019ba79dc5182fdbe5a2ccae2e,primary,2,1
76,76.jpg,train,1024,1024,6d4a37f95931ecbac9017530205931871ca5550a221e9fa80136dbe83165676a,8b757bb96a1ed7ccfaa80de08cd163c9232ec700bc246d690b9ec596c30bca95,primary,1,1
77,77.jpg,validation,1024,1024,5641b75867b1f87dc941b3707af52756271c78dd3d400db589a9a28233eced88,f250cee01529a609b2447ae9576bd34925c8a5cbd1f13f95c3f9c18cd1d4be2d,primary,1,1
78,78.jpg,train,1024,1024,41b35569a3cd536441a1a7a86bfcbb030f9ecc1f07cd7bebb94f55fb668e264b,d1ac458d9cca6e1db6b48b7ff30df514dd140dd948359d1a4188bc3f85099faf,primary,1,1
79,79.jpg,train,1024,1024,e89e39b37b6149d6c018f0b8963b5ceb513d6cfc4d0bc58bff8862f1cf51efc6,4fc29ec4a26882ecb1017f7e943df62d8caa9210d56855cb58416464ef367eac,primary,1,1
81,81.jpg,test,1024,1024,8a53be32556a362c61806790f817e79bb97116cde009d17d403ee783671033d8,6756a982d1bfc795eab9d9c24688531bc1143fed8f1c78d989c2c6d2afbae122,primary,3,1
82,82.jpg,train,1024,1024,738a178e8f2873606fa2bfcc66e6f07beeed88b876ff7b29fa9147615d7c090e,4afe9cb73da72bf7bf03d9bbabaeeab191a628d6b5582417053e85689f4e83d6,primary,1,1
83,83.jpg,train,1024,1024,a7bab4633b18f120620d6a37388d5c2c3051caa5a35292de196446e959fc09f4,b1587e5bfcae281954e09f01d11259b880b15197ab9e233a855d6d26f3e53047,primary,2,1
84,84.jpg,train,1024,1024,ca3c270e59b042560566876eedbfc129bd679dc5640eaa5d3484a033e5087b34,f5f37c224d4ff11a854d1fd2b9e3bd3542ac5116ffbd9cdc3a83259c8be36406,primary,1,1
85,85.jpg,train,1024,1024,a25a9f279a2f56039402010408d3a233ee0c0f02f06e13700baee234e2b6080a,fe703588f033a26ed35dded361a8c35687157b8691f2dce01c8cede5f16f24b1,primary,1,1
86,86.jpg,train,1024,1024,4b1033bb1ea30818e73bf75954e192568d4a19a8680886156bfe8946b9c7ab22,3bc3eb5e301e39cd42fc36f47c91ad15e9faff2cc829a983038bf1d684f924c7,primary,1,1
87,87.jpg,validation,1024,1024,5d98b3a2f6de2a700d1f5ac195978550101cdbd2d8261bab8778af6326185de6,e17c500bfe67f33d77ec2583677f9f37f954c165a2e5fa0012d6150c1adcb74f,primary,1,1
88,88.jpg,test,1024,1024,77209c6be6cedeaa8dde8ce8e3b3dfe6383ff5f2d7059bc9b0d211731bb437ee,82b9a82d23f3f48f11c797d4949a6c0e07c191ff63b6b324b1c0db2f159b8d67,primary,1,1
89,89.jpg,train,1024,1024,bcd6fd5c8e6e5da78b6f5b0526c66db9b42feac80b95cbb2c20b52ab2cb6a1fe,b84b231af1b0e4abd00608141dd68ec67024a1b16e3f93b7c66acb122b0d09dc,primary,2,1
90,90.jpg,train,1024,1024,382735c6d8314c8ea4066e52abe2b5615687abcc693a4ce4b6677c2fa77fe1c8,3587da0404b49b6ebae4c05fd9b2a40d2b16105d4f995a88cd2e128404eaf2d9,primary,3,1
91,91.jpg,train,1024,1024,20abebc725084c47071c38f580f112b714e577937a281fd674f6da71b71d1bec,08fb8f2b4881b9833bf8dddebac42d9fda3c122d2938816af3388a7ac3a52630,primary,1,1
92,92.jpg,train,1024,1024,90c4ae078b571b301b39c27679f961fbce84f74cb009c64f651a21fcd0d6dff1,cacc3da1b1cf7b667af0b7e5b15b648f2e5e6e4dea8fe76d7a384aff075bcf77,primary,1,1
93,93.jpg,test,1024,1024,38c5ce8f77aa3ceecd6479f6ad671c5890cd7e3a82218101491a8bf16d0ee801,7dd470872d69ee0216c907f903ef92295bd3a36f7dc3a6774c133eaad5609247,primary,1,1
94,94.jpg,train,1024,1024,d389ed2413e8cf33da8bce022d27136ee0a9b681f19b3458913bd12b2497c12f,df039ab47030b0c0fa3d2cefef163f52931d23135b24d21478ac6ba867451ecb,primary,2,1
95,95.jpg,train,1024,1024,ff9eafd1b80c3759315b79c178f5238b446021a987b948dbdccb81f75e0b7158,672a726bb00c014ad855775b5434c6316c2eb858c0bb2e1d72cf73c71a8059a7,primary,3,2
96,96.jpg,validation,1024,1024,d21eb7b133d2cbe84d0d055b0217aab72becfa81fd088ed465e61b77ecc426bc,693c535272e3d6616d0c8cdc1ea39f4ac819de25edb20f6f0264da7b5b245496,primary,2,1
97,97.jpg,train,1024,1024,c2ccce5150f9ad83d1a353a51d17afc05dfa128d746d01bf90d3471ed789ed99,1144f1005d29ac951ead940e7c9e7143098d6b2e34403699529eb878301598f9,primary,1,1
99,99.jpg,validation,1024,1024,96e3be88150041069f94753f02a6294f030526febd056d866392fdc39da796a0,b0060d425ed69f8a58684e51e6d3fc6385d5e113badacec8df22c4d7d003edeb,primary,1,1
100,100.jpg,validation,1024,1024,1ca79058b7194215941abc691cd925eb4b009a799ff6953900a71754912be6db,717a24fbedb020b2b88085c625d7373584ed8cc99504033103eff87bf2e6af2a,primary,1,1
101,101.jpg,train,1024,1024,1d505ddbecfb3ce7a041fd37a2c5cdb35d9f954caae0133690a0c87c6ff7be79,ff9bcb2448280a93af7ecd60a0fc631d8bfbefcc3e3177cc496ba68535464ac1,primary,1,1
102,102.jpg,train,1024,1024,78ba890b2ce45e0e5298d34f3910fa2a3b670d8939c43ecb522ffc73ff744ea4,089a3d7bf218e33003a2a48f5809dcb68f7fb456b52be01f1ff72c3ec322b5ad,primary,1,1
103,103.jpg,test,1024,1024,71a3c3fe603324f7dc4eed16cae9e587a55165173c2a34eed1fbca119f132c9a,a9928b492fdbfdeb8ab0dc8fa5c2bd2e78c15453ce69bff981a75119b92de32b,primary,1,1
104,104.jpg,train,1024,1024,ad9d93aa6a6e625996e2f3f79bc37347939b7341ad0d8c546aadc259662c0750,d9a6a013803d34a51f56125250b2260f715d43976b215b042542119f1041b762,primary,1,1
106,106.jpg,train,1024,1024,1ff35d6ac3dbdccd4b9d348a18ef58aeeca5decc22349bb3f23edf89bb8b102d,7846834d86b771ec91c53ba25cd07fbd7406713b9d99f9764eee53015a747743,primary,7,1
107,107.jpg,train,1024,1024,d00da8b41e228b0fbd654f95d05222e9858ab6da05950acedd75c05592b5a916,7216ad1fd3c88cc58ffabd3fdc9167743b4d6407ed35fe6ffef13a6ab2e6e31b,primary,2,1
108,108.jpg,validation,1024,1024,0796cf2130ead12ec22b078adfba60781810abfaab9a083638db4eda897d8ee9,762a5e3e23318f32b50f21b7f4d536c097b2e9bfcee49130c1b1e2292b1be55f,primary,3,2
109,109.jpg,train,1024,1024,79e8b1b76bd87b705fff5d66f1441080091e33020b7edd9417686ca86a6b1326,2e8fd8ba8e4eccb1e2fc86d3faa205b408c05904dd15071a9af2c09f1a980a4a,primary,1,1
110,110.jpg,train,1024,1024,c1e06e22bd5ad9822485901953f67eb3771d3ab7c93f1d8eed0cc2aa8f4ac856,5b288b60415195b13ab3528f567f42354c42cd2b73681e44c305d7624e979888,primary,1,1
111,111.jpg,validation,1024,1024,61380e22e62d233997c7aa36692b52476041c972063ef4bbd2ac6a4bfc444b98,32747db9881e9af2c91f1343ba89618ed76babc5a27c6e50f4565ed6baeeda52,primary,1,1
112,112.jpg,test,1024,1024,5e002b7972ff197bd5e6e06cc900b2669796c79f8a66fb8373a185fb77044875,c2ad35cfeaa0917da2d08e0ab8fe7910dc10e94fd6b0659ebea7403dbf3b3878,primary,2,2
113,113.jpg,train,1024,1024,3f22db88431983f7ffb633a61b11e10c53b23eb4c26258f41abea1abf6463b80,f5e8f751e2e6facac5f56b2e2a5a6d32238f40b257d2e0dae823fd6937fe2b66,primary,2,1
114,114.jpg,validation,1024,1024,a3f1e6d8c3b6156f61a7e376b7afc871416997ef6b19ea5bbf76f7c77c114d14,5a1bddc5c631034843654b36084f7050f22d84714d380e91cacd2510ff4e1818,primary,2,1
115,115.jpg,train,1024,1024,65c67b4a2c1154b1f10f554596607a3723a0e685a38ffb155f9e658f7c3830fc,1d82bfd5f3ade2621f9fa59695694d569ef6a5e2bb2f8c8cbec40f73c3281a3e,primary,2,1
116,116.jpg,train,1024,1024,2602355ad79fe4d53313538073e8c29247d906c9e868ff6606cdf4f6684f8e45,91550d89eb44d24ccc0e8492f5e606259cdf1fb0b18b90f950b3ee41d2c12e22,primary,3,2
117,117.jpg,validation,1024,1024,030e755022350316a084bf6ac22171b7af4e712e7283d065669dc418090a96bd,cfe8f53c8a53cefaa85926653ae04bab0b6dd93dd6c2999a0d91301db480e780,primary,1,1
118,118.jpg,train,1024,1024,e7e8b96b6cf08d2a92a62188b1784f126a8fb0650de35657929304a79729b1da,ac46224b8188b89882ebd63fd44af6de7b12bc46fb6922385313e3687188633b,primary,1,1
119,119.jpg,train,1024,1024,e1ff0817e976bd6344f10a721aac39fa845bd140521ce025d778fab288563652,abc2ad198fc7d715c066a7e9c9b0da1e7eb862ad1c8ef6bc63e177146acc75ea,primary,1,1
120,120.jpg,train,1024,1024,755f66288d8ae14658f556b6f26965cad9328ca2e81901c04987f5d4df67fe1e,f2370e7b6a9fa4426537be08b10c1b32c040309f0651ff95aa44faaccab438f2,primary,1,1
121,121.jpg,train,1024,1024,00335f01ea58c32174b9937efc402c046530b26f2227cbdbe92ab23b1cd620a9,53056e711aaf415d7791e27b720175701441fbf4aad1e313d1fa3ced29128b4a,primary,1,1
122,122.jpg,train,1024,1024,b759c84c4e1c8578cfd3e102901bdef813726e39601ce925b2400484d2649cb1,d4a7c46d83edbf87f20ca8c0a2e1bf0bf1125ca9bde7f17ec53ba19be7c15c4c,primary,2,1
123,123.jpg,validation,1024,1024,3c635fd971547687af7f0dd46c026f81eebe4e7efc89f9e5717c3b8f72fed5da,16ec91875a3dc52b02f9f89979ee9456e549418530a579b03d371d13ff454d12,primary,3,1
124,124.jpg,train,1024,1024,e4d879d0a86d49df79feaf25888b4dcfe63f9201663aa8081143f55c5db347b4,bdd10086df7f2e435165b22fedbfe801827eca52cc3732f17b54ac2f1f33a5d8,primary,1,1
125,125.jpg,train,1024,1024,7a156f8839b50576e49dd6cacfe39d344896df4142ec244891278e3cdef34c3f,46be52ca00c64a1fbe1deac08165fb0c65aeffe08419279bb343dc9df6151103,primary,2,1
126,126.jpg,train,1024,1024,07999ec21dd74b4e703e6ac1ced0e3bd5a2c4afdfbe6fea94795338d11fb3c8c,718cb6fa5f74c6137ffda3630b426c224622978dcd60a6e3340fc360dd0bdbf5,primary,4,2
127,127.jpg,train,1024,1024,e68ce1a84ce72e989b39a91d6a9849af1dc74ac5b49b6afcf0b8d4b6088e08f1,a5c0491ae815007f7d2d566d1e76bb19525a15a7cec6cdbe75b26cff66ce8c87,primary,2,1
128,128.jpg,validation,1024,1024,dd1585d99365a70ac588f1427a24d1d73d509cc8df0c99b9e817ceaa2c1a7736,f768fd711152a0ac06bec368004813166ffb6e6ffac497715197a7a0c25225da,primary,1,1
129,129.jpg,train,1024,1024,90fa13b881c4e4aced3e239db24fdec31b7f616a1d61900900a7c3fbe4efbbc2,679e731c83bf5d21165e14d35284e6a4b58ff72c6db9149c78b3afad13149985,primary,1,1
