sample_id,decision,resolved_image_filename,annotation_source,include,notes,reviewer
887,pending_review,,none,False,,
888,pending_review,,none,False,,
889,pending_review,,none,False,,
890,pending_review,,none,False,,
891,pending_review,,none,False,,
892,pending_review,,none,False,,
896,pending_review,,none,False,,
897,pending_review,,none,False,,
899,pending_review,,none,False,,
900,pending_review,,none,False,,
901,pending_review,,none,False,,
902,pending_review,,none,False,,
903,pending_review,,none,False,,
904,pending_review,,none,False,,
905,pending_review,,none,False,,
906,pending_review,,none,False,,
907,pending_review,,none,False,,
908,pending_review,,none,False,,
909,pending_review,,none,False,,
910,pending_review,,none,False,,
911,pending_review,,none,False,,
912,pending_review,,none,False,,
913,pending_review,,none,False,,
914,pending_review,,none,False,,
915,pending_review,,none,False,,
916,pending_review,,none,False,,
917,pending_review,,none,False,,
918,pending_review,,none,False,,
919,pending_review,,none,False,,
921,pending_review,,none,False,,
922,pending_review,,none,False,,
924,pending_review,,none,False,,
925,pending_review,,none,False,,
926,pending_review,,none,False,,
927,pending_review,,none,False,,
928,pending_review,,none,False,,
929,pending_review,,none,False,,
930,pending_review,,none,False,,
931,pending_review,,none,False,,
933,pending_review,,none,False,,
934,pending_review,,none,False,,
935,pending_review,,none,False,,
936,pending_review,,none,False,,
937,pending_review,,none,False,,
938,pending_review,,none,False,,
939,pending_review,,none,False,,
940,pending_review,,none,False,,
941,pending_review,,none,False,,
942,pending_review,,none,False,,
943,pending_review,,none,False,,
944,pending_review,,none,False,,
946,pending_review,,none,False,,
947,pending_review,,none,False,,
948,pending_review,,none,False,,
949,pending_review,,none,False,,
950,pending_review,,none,False,,
951,pending_review,,none,False,,
952,pending_review,,none,False,,
953,pending_review,,none,False,,
954,pending_review,,none,False,,
957,pending_review,,none,False,,
958,pending_review,,none,False,,
959,pending_review,,none,False,,
960,pending_review,,none,False,,
961,pending_review,,none,False,,
962,pending_review,,none,False,,
964,pending_review,,none,False,,
966,pending_review,,none,False,,
967,pending_review,,none,False,,
970,pending_review,,none,False,,
971,pending_review,,none,False,,
972,pending_review,,none,False,,
973,pending_review,,none,False,,
975,pending_review,,none,False,,
976,pending_review,,none,False,,
977,pending_review,,none,False,,
978,pending_review,,none,False,,
979,pending_review,,none,False,,
981,pending_review,,none,False,,
982,pending_review,,none,False,,
983,pending_review,,none,False,,
985,pending_review,,none,False,,
987,pending_review,,none,False,,
988,pending_review,,none,False,,
989,pending_review,,none,False,,
990,pending_review,,none,False,,
991,pending_review,,none,False,,
993,pending_review,,none,False,,
994,pending_review,,none,False,,
995,pending_review,,none,False,,
996,pending_review,,none,False,,
999,pending_review,,none,False,,
1000,pending_review,,none,False,,
1001,pending_review,,none,False,,
1003,pending_review,,none,False,,
1005,pending_review,,none,False,,
1006,pending_review,,none,False,,
1009,pending_review,,none,False,,
1011,pending_review,,none,False,,
1012,pending_review,,none,False,,
1013,pending_review,,none,False,,
1014,pending_review,,none,False,,
1015,pending_review,,none,False,,
1016,pending_review,,none,False,,
1018,pending_review,,none,False,,
1020,pending_review,,none,False,,
1021,pending_review,,none,False,,
1022,pending_review,,none,False,,
1023,pending_review,,none,False,,
1024,pending_review,,none,False,,
1025,pending_review,,none,False,,
1026,pending_review,,none,False,,
1027,pending_review,,none,False,,
1028,pending_review,,none,False,,
1029,pending_review,,none,False,,
1030,pending_review,,none,False,,
1031,pending_review,,none,False,,
1032,pending_review,,none,False,,
1033,pending_review,,none,False,,
1034,pending_review,,none,False,,
1035,pending_review,,none,False,,
1036,pending_review,,none,False,,
1037,pending_review,,none,False,,
1038,pending_review,,none,False,,
1039,pending_review,,none,False,,
1040,pending_review,,none,False,,
1041,pending_review,,none,False,,
1042,pending_review,,none,False,,
1043,pending_review,,none,False,,
1044,pending_review,,none,False,,
1045,pending_review,,none,False,,
1047,pending_review,,none,False,,
1049,pending_review,,none,False,,
1050,pending_review,,none,False,,
1051,pending_review,,none,False,,
1052,pending_review,,none,False,,
1053,pending_review,,none,False,,
1054,pending_review,,none,False,,
1055,pending_review,,none,False,,
1056,pending_review,,none,False,,
1057,pending_review,,none,False,,
1058,pending_review,,none,False,,
1059,pending_review,,none,False,,
1062,pending_review,,none,False,,
