instance_id,source_image_id,image_filename,object_index,raw_label,canonical_label_if_unambiguous,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area_pixels,bbox_area_fraction,bbox_aspect_ratio,bbox_center_x,bbox_center_y,official_split,pose,truncated,difficult,bbox_issues
9_0,9,9.jpg,0,hide_craze,hide_craze,652,720,791,936,140,217,30380,0.028972625732421875,0.6451612903225806,721.5,828.0,train,Unspecified,0,0,
10_0,10,10.jpg,0,thunderstrike,thunderstrike,517,336,870,472,354,137,48498,0.04625129699707031,2.5839416058394162,693.5,404.0,train,Unspecified,0,0,
10_1,10,10.jpg,1,surface_injure,surface_injure,383,931,470,975,88,45,3960,0.00377655029296875,1.9555555555555555,426.5,953.0,train,Unspecified,0,0,
11_0,11,11.jpg,0,surface_injure,surface_injure,741,106,825,177,85,72,6120,0.00583648681640625,1.1805555555555556,783.0,141.5,validation,Unspecified,0,0,
12_0,12,12.jpg,0,crack,crack,355,1,486,727,132,727,95964,0.09151840209960938,0.1815680880330124,420.5,364.0,train,Unspecified,1,0,
13_0,13,13.jpg,0,hide_craze,hide_craze,11,649,162,808,152,160,24320,0.023193359375,0.95,86.5,728.5,test,Unspecified,0,0,
13_1,13,13.jpg,1,hide_craze,hide_craze,483,611,514,775,32,165,5280,0.005035400390625,0.19393939393939394,498.5,693.0,test,Unspecified,0,0,
14_0,14,14.jpg,0,hide_craze,hide_craze,170,910,272,972,103,63,6489,0.006188392639160156,1.6349206349206349,221.0,941.0,train,Unspecified,0,0,
14_1,14,14.jpg,1,surface_injure,surface_injure,261,94,327,153,67,60,4020,0.003833770751953125,1.1166666666666667,294.0,123.5,train,Unspecified,0,0,
15_0,15,15.jpg,0,craze,craze,280,166,703,280,424,115,48760,0.04650115966796875,3.6869565217391305,491.5,223.0,train,Unspecified,0,0,
16_0,16,16.jpg,0,craze,craze,180,214,389,295,210,82,17220,0.016422271728515625,2.5609756097560976,284.5,254.5,train,Unspecified,0,0,
17_0,17,17.jpg,0,thunderstrike,thunderstrike,277,3,977,489,701,487,341387,0.32557201385498047,1.4394250513347022,627.0,246.0,train,Unspecified,0,0,
18_0,18,18.jpg,0,craze,craze,127,385,1009,722,883,338,298454,0.28462791442871094,2.6124260355029585,568.0,553.5,train,Unspecified,0,0,
19_0,19,19.jpg,0,surface_injure,surface_injure,311,122,369,208,59,87,5133,0.004895210266113281,0.6781609195402298,340.0,165.0,validation,Unspecified,0,0,
19_1,19,19.jpg,1,surface_injure,surface_injure,205,663,894,999,690,337,232530,0.2217578887939453,2.0474777448071215,549.5,831.0,validation,Unspecified,0,0,
20_0,20,20.jpg,0,craze,craze,423,561,786,716,364,156,56784,0.0541534423828125,2.3333333333333335,604.5,638.5,train,Unspecified,0,0,
21_0,21,21.jpg,0,craze,craze,547,417,655,775,109,359,39131,0.03731822967529297,0.30362116991643456,601.0,596.0,validation,Unspecified,0,0,
22_0,22,22.jpg,0,surface_injure,surface_injure,47,130,895,660,849,531,450819,0.4299345016479492,1.5988700564971752,471.0,395.0,train,Unspecified,0,0,
23_0,23,23.jpg,0,crack,crack,570,413,759,805,190,393,74670,0.07121086120605469,0.48346055979643765,664.5,609.0,train,Unspecified,0,0,
24_0,24,24.jpg,0,craze,craze,366,360,602,613,237,254,60198,0.05740928649902344,0.9330708661417323,484.0,486.5,train,Unspecified,0,0,
25_0,25,25.jpg,0,hide_craze,hide_craze,356,3,459,1013,104,1011,105144,0.10027313232421875,0.10286844708209693,407.5,508.0,train,Unspecified,0,0,
26_0,26,26.jpg,0,crack,crack,377,74,502,910,126,837,105462,0.10057640075683594,0.15053763440860216,439.5,492.0,train,Unspecified,0,0,
27_0,27,27.jpg,0,surface_injure,surface_injure,8,178,431,480,424,303,128472,0.12252044677734375,1.3993399339933994,219.5,329.0,train,Unspecified,0,0,
27_1,27,27.jpg,1,surface_injure,surface_injure,455,413,731,777,277,365,101105,0.0964212417602539,0.7589041095890411,593.0,595.0,train,Unspecified,0,0,
27_2,27,27.jpg,2,surface_injure,surface_injure,753,680,869,886,117,207,24219,0.02309703826904297,0.5652173913043478,811.0,783.0,train,Unspecified,0,0,
28_0,28,28.jpg,0,hide_craze,hide_craze,523,599,559,985,37,387,14319,0.013655662536621094,0.09560723514211886,541.0,792.0,train,Unspecified,0,0,
29_0,29,29.jpg,0,hide_craze,hide_craze,67,210,159,328,93,119,11067,0.010554313659667969,0.7815126050420168,113.0,269.0,train,Unspecified,0,0,
30_0,30,30.jpg,0,craze,craze,225,22,494,211,270,190,51300,0.048923492431640625,1.4210526315789473,359.5,116.5,train,Unspecified,0,0,
30_1,30,30.jpg,1,craze,craze,509,194,1012,645,504,452,227808,0.217254638671875,1.1150442477876106,760.5,419.5,train,Unspecified,0,0,
31_0,31,31.jpg,0,surface_injure,surface_injure,136,358,628,517,493,160,78880,0.075225830078125,3.08125,382.0,437.5,train,Unspecified,0,0,
31_1,31,31.jpg,1,surface_injure,surface_injure,1,441,141,686,141,246,34686,0.03307914733886719,0.573170731707317,71.0,563.5,train,Unspecified,1,0,
32_0,32,32.jpg,0,thunderstrike,thunderstrike,58,558,527,849,470,292,137240,0.13088226318359375,1.6095890410958904,292.5,703.5,test,Unspecified,0,0,
32_1,32,32.jpg,1,thunderstrike,thunderstrike,739,692,987,975,249,284,70716,0.06744003295898438,0.8767605633802817,863.0,833.5,test,Unspecified,0,0,
33_0,33,33.jpg,0,crack,crack,259,341,300,560,42,220,9240,0.00881195068359375,0.19090909090909092,279.5,450.5,train,Unspecified,0,0,
33_1,33,33.jpg,1,crack,crack,453,202,619,478,167,277,46259,0.04411602020263672,0.6028880866425993,536.0,340.0,train,Unspecified,0,0,
34_0,34,34.jpg,0,surface_injure,surface_injure,91,803,142,861,52,59,3068,0.002925872802734375,0.8813559322033898,116.5,832.0,train,Unspecified,0,0,
34_1,34,34.jpg,1,hide_craze,hide_craze,436,716,869,785,434,70,30380,0.028972625732421875,6.2,652.5,750.5,train,Unspecified,0,0,
35_0,35,35.jpg,0,corrosion,corrosion,119,505,745,1014,627,510,319770,0.30495643615722656,1.2294117647058824,432.0,759.5,train,Unspecified,0,0,
35_1,35,35.jpg,1,corrosion,corrosion,44,5,472,492,429,488,209352,0.19965362548828125,0.8790983606557377,258.0,248.5,train,Unspecified,0,0,
36_0,36,36.jpg,0,hide_craze,hide_craze,147,20,533,631,387,612,236844,0.22587203979492188,0.6323529411764706,340.0,325.5,train,Unspecified,0,0,
36_1,36,36.jpg,1,hide_craze,hide_craze,695,463,1020,708,326,246,80196,0.07648086547851562,1.3252032520325203,857.5,585.5,train,Unspecified,0,0,
37_0,37,37.jpg,0,thunderstrike,thunderstrike,380,403,649,684,270,282,76140,0.07261276245117188,0.9574468085106383,514.5,543.5,train,Unspecified,0,0,
37_1,37,37.jpg,1,surface_injure,surface_injure,286,105,792,774,507,670,339690,0.32395362854003906,0.7567164179104477,539.0,439.5,train,Unspecified,0,0,
38_0,38,38.jpg,0,hide_craze,hide_craze,603,5,644,385,42,381,16002,0.015260696411132812,0.11023622047244094,623.5,195.0,train,Unspecified,0,0,
39_0,39,39.jpg,0,corrosion,corrosion,391,127,600,989,210,863,181230,0.1728343963623047,0.24333719582850522,495.5,558.0,train,Unspecified,0,0,
40_0,40,40.jpg,0,thunderstrike,thunderstrike,1,339,427,583,427,245,104615,0.09976863861083984,1.7428571428571429,214.0,461.0,train,Unspecified,1,0,
41_0,41,41.jpg,0,hide_craze,hide_craze,400,630,977,666,578,37,21386,0.020395278930664062,15.621621621621621,688.5,648.0,train,Unspecified,0,0,
42_0,42,42.jpg,0,craze,craze,627,83,1024,789,398,707,281386,0.26835060119628906,0.562942008486563,825.5,436.0,train,Unspecified,1,0,
42_1,42,42.jpg,1,craze,craze,81,278,286,469,206,192,39552,0.0377197265625,1.0729166666666667,183.5,373.5,train,Unspecified,0,0,
42_2,42,42.jpg,2,craze,craze,411,233,609,514,199,282,56118,0.05351829528808594,0.7056737588652482,510.0,373.5,train,Unspecified,0,0,
43_0,43,43.jpg,0,surface_injure,surface_injure,177,1,502,689,326,689,224614,0.21420860290527344,0.4731494920174166,339.5,345.0,train,Unspecified,1,0,
43_1,43,43.jpg,1,surface_injure,surface_injure,300,724,553,885,254,162,41148,0.039241790771484375,1.5679012345679013,426.5,804.5,train,Unspecified,0,0,
44_0,44,44.jpg,0,hide_craze,hide_craze,286,591,631,783,346,193,66778,0.06368446350097656,1.7927461139896372,458.5,687.0,train,Unspecified,0,0,
45_0,45,45.jpg,0,surface_injure,surface_injure,191,417,664,655,474,239,113286,0.10803794860839844,1.9832635983263598,427.5,536.0,train,Unspecified,0,0,
45_1,45,45.jpg,1,surface_injure,surface_injure,16,517,181,872,166,356,59096,0.05635833740234375,0.46629213483146065,98.5,694.5,train,Unspecified,0,0,
46_0,46,46.jpg,0,corrosion,corrosion,20,563,548,680,529,118,62422,0.05953025817871094,4.483050847457627,284.0,621.5,test,Unspecified,0,0,
46_1,46,46.jpg,1,corrosion,corrosion,569,491,814,578,246,88,21648,0.0206451416015625,2.7954545454545454,691.5,534.5,test,Unspecified,0,0,
47_0,47,47.jpg,0,craze,craze,683,731,941,1002,259,272,70448,0.0671844482421875,0.9522058823529411,812.0,866.5,train,Unspecified,0,0,
47_1,47,47.jpg,1,craze,craze,523,513,683,716,161,204,32844,0.031322479248046875,0.7892156862745098,603.0,614.5,train,Unspecified,0,0,
47_2,47,47.jpg,2,craze,craze,328,335,498,491,171,157,26847,0.025603294372558594,1.089171974522293,413.0,413.0,train,Unspecified,0,0,
48_0,48,48.jpg,0,surface_injure,surface_injure,394,473,553,794,160,322,51520,0.04913330078125,0.4968944099378882,473.5,633.5,test,Unspecified,0,0,
49_0,49,49.jpg,0,craze,craze,375,269,806,364,432,96,41472,0.03955078125,4.5,590.5,316.5,train,Unspecified,0,0,
50_0,50,50.jpg,0,craze,craze,6,83,467,899,462,817,377454,0.3599681854248047,0.565483476132191,236.5,491.0,train,Unspecified,0,0,
50_1,50,50.jpg,1,craze,craze,731,261,955,503,225,243,54675,0.05214214324951172,0.9259259259259259,843.0,382.0,train,Unspecified,0,0,
50_2,50,50.jpg,2,craze,craze,494,278,619,513,126,236,29736,0.02835845947265625,0.5338983050847458,556.5,395.5,train,Unspecified,0,0,
51_0,51,51.jpg,0,craze,craze,447,894,547,1019,101,126,12726,0.012136459350585938,0.8015873015873016,497.0,956.5,test,Unspecified,0,0,
51_1,51,51.jpg,1,craze,craze,473,20,658,850,186,831,154566,0.14740562438964844,0.22382671480144403,565.5,435.0,test,Unspecified,0,0,
52_0,52,52.jpg,0,thunderstrike,thunderstrike,208,174,511,938,304,765,232560,0.2217864990234375,0.39738562091503266,359.5,556.0,train,Unspecified,0,0,
53_0,53,53.jpg,0,crack,crack,420,153,509,424,90,272,24480,0.023345947265625,0.33088235294117646,464.5,288.5,train,Unspecified,0,0,
54_0,54,54.jpg,0,hide_craze,hide_craze,478,272,503,631,26,360,9360,0.0089263916015625,0.07222222222222222,490.5,451.5,test,Unspecified,0,0,
54_1,54,54.jpg,1,hide_craze,hide_craze,470,691,500,928,31,238,7378,0.0070362091064453125,0.13025210084033614,485.0,809.5,test,Unspecified,0,0,
55_0,55,55.jpg,0,hide_craze,hide_craze,477,705,941,939,465,235,109275,0.10421276092529297,1.9787234042553192,709.0,822.0,validation,Unspecified,0,0,
56_0,56,56.jpg,0,hide_craze,hide_craze,405,875,652,924,248,50,12400,0.0118255615234375,4.96,528.5,899.5,train,Unspecified,0,0,
56_1,56,56.jpg,1,hide_craze,hide_craze,427,495,598,547,172,53,9116,0.008693695068359375,3.2452830188679247,512.5,521.0,train,Unspecified,0,0,
56_2,56,56.jpg,2,hide_craze,hide_craze,362,719,603,835,242,117,28314,0.027002334594726562,2.0683760683760686,482.5,777.0,train,Unspecified,0,0,
56_3,56,56.jpg,3,hide_craze,hide_craze,425,606,612,672,188,67,12596,0.012012481689453125,2.8059701492537314,518.5,639.0,train,Unspecified,0,0,
57_0,57,57.jpg,0,craze,craze,550,314,850,438,301,125,37625,0.035881996154785156,2.408,700.0,376.0,test,Unspecified,0,0,
57_1,57,57.jpg,1,surface_injure,surface_injure,422,313,531,374,110,62,6820,0.006504058837890625,1.7741935483870968,476.5,343.5,test,Unspecified,0,0,
58_0,58,58.jpg,0,hide_craze,hide_craze,1,420,728,522,728,103,74984,0.07151031494140625,7.067961165048544,364.5,471.0,train,Unspecified,1,0,
59_0,59,59.jpg,0,crack,crack,767,380,903,614,137,235,32195,0.03070354461669922,0.5829787234042553,835.0,497.0,validation,Unspecified,0,0,
60_0,60,60.jpg,0,thunderstrike,thunderstrike,87,639,397,722,311,84,26124,0.024913787841796875,3.7023809523809526,242.0,680.5,validation,Unspecified,0,0,
60_1,60,60.jpg,1,hide_craze,hide_craze,783,1,809,264,27,264,7128,0.00679779052734375,0.10227272727272728,796.0,132.5,validation,Unspecified,1,0,
61_0,61,61.jpg,0,craze,craze,623,688,958,1014,336,327,109872,0.1047821044921875,1.0275229357798166,790.5,851.0,test,Unspecified,0,0,
61_1,61,61.jpg,1,craze,craze,367,389,631,650,265,262,69430,0.06621360778808594,1.0114503816793894,499.0,519.5,test,Unspecified,0,0,
61_2,61,61.jpg,2,craze,craze,203,200,402,366,200,167,33400,0.03185272216796875,1.1976047904191616,302.5,283.0,test,Unspecified,0,0,
62_0,62,62.jpg,0,thunderstrike,thunderstrike,19,450,512,555,494,106,52364,0.049938201904296875,4.660377358490566,265.5,502.5,validation,Unspecified,0,0,
62_1,62,62.jpg,1,hide_craze,hide_craze,814,494,841,589,28,96,2688,0.0025634765625,0.2916666666666667,827.5,541.5,validation,Unspecified,0,0,
63_0,63,63.jpg,0,surface_injure,surface_injure,122,425,191,511,70,87,6090,0.0058078765869140625,0.8045977011494253,156.5,468.0,train,Unspecified,0,0,
63_1,63,63.jpg,1,surface_injure,surface_injure,308,714,356,763,49,50,2450,0.0023365020751953125,0.98,332.0,738.5,train,Unspecified,0,0,
64_0,64,64.jpg,0,corrosion,corrosion,362,450,498,991,137,542,74254,0.07081413269042969,0.25276752767527677,430.0,720.5,train,Unspecified,0,0,
65_0,65,65.jpg,0,corrosion,corrosion,87,39,445,989,359,951,341409,0.3255929946899414,0.3774973711882229,266.0,514.0,test,Unspecified,0,0,
66_0,66,66.jpg,0,crack,crack,428,155,531,694,104,540,56160,0.053558349609375,0.1925925925925926,479.5,424.5,train,Unspecified,0,0,
66_1,66,66.jpg,1,crack,crack,802,247,894,745,93,499,46407,0.044257164001464844,0.18637274549098196,848.0,496.0,train,Unspecified,0,0,
67_0,67,67.jpg,0,hide_craze,hide_craze,359,589,666,688,308,100,30800,0.0293731689453125,3.08,512.5,638.5,test,Unspecified,0,0,
68_0,68,68.jpg,0,hide_craze,hide_craze,522,497,550,933,29,437,12673,0.012085914611816406,0.06636155606407322,536.0,715.0,train,Unspecified,0,0,
68_1,68,68.jpg,1,hide_craze,hide_craze,530,145,550,356,21,212,4452,0.004245758056640625,0.09905660377358491,540.0,250.5,train,Unspecified,0,0,
69_0,69,69.jpg,0,crack,crack,278,78,445,263,168,186,31248,0.0298004150390625,0.9032258064516129,361.5,170.5,validation,Unspecified,0,0,
69_1,69,69.jpg,1,crack,crack,761,245,928,385,168,141,23688,0.02259063720703125,1.1914893617021276,844.5,315.0,validation,Unspecified,0,0,
70_0,70,70.jpg,0,crack,crack,184,213,392,567,209,355,74195,0.07075786590576172,0.5887323943661972,288.0,390.0,validation,Unspecified,0,0,
70_1,70,70.jpg,1,crack,crack,545,16,659,466,115,451,51865,0.049462318420410156,0.2549889135254989,602.0,241.0,validation,Unspecified,0,0,
71_0,71,71.jpg,0,craze,craze,108,377,1011,783,904,407,367928,0.35088348388671875,2.2211302211302213,559.5,580.0,test,Unspecified,0,0,
72_0,72,72.jpg,0,corrosion,corrosion,462,378,503,944,42,567,23814,0.022710800170898438,0.07407407407407407,482.5,661.0,validation,Unspecified,0,0,
73_0,73,73.jpg,0,craze,craze,286,270,766,700,481,431,207311,0.1977071762084961,1.1160092807424593,526.0,485.0,test,Unspecified,0,0,
74_0,74,74.jpg,0,craze,craze,425,688,850,836,426,149,63474,0.06053352355957031,2.859060402684564,637.5,762.0,train,Unspecified,0,0,
75_0,75,75.jpg,0,surface_injure,surface_injure,103,586,177,1017,75,432,32400,0.0308990478515625,0.1736111111111111,140.0,801.5,train,Unspecified,0,0,
75_1,75,75.jpg,1,surface_injure,surface_injure,727,6,1024,325,298,320,95360,0.0909423828125,0.93125,875.5,165.5,train,Unspecified,1,0,
76_0,76,76.jpg,0,craze,craze,172,181,694,606,523,426,222798,0.2124767303466797,1.227699530516432,433.0,393.5,train,Unspecified,0,0,
77_0,77,77.jpg,0,thunderstrike,thunderstrike,227,825,339,908,113,84,9492,0.009052276611328125,1.3452380952380953,283.0,866.5,validation,Unspecified,0,0,
78_0,78,78.jpg,0,crack,crack,527,169,670,761,144,593,85392,0.0814361572265625,0.24283305227655985,598.5,465.0,train,Unspecified,0,0,
79_0,79,79.jpg,0,craze,craze,289,275,767,710,479,436,208844,0.19916915893554688,1.098623853211009,528.0,492.5,train,Unspecified,0,0,
81_0,81,81.jpg,0,craze,craze,20,3,231,181,212,179,37948,0.036190032958984375,1.1843575418994414,125.5,92.0,test,Unspecified,0,0,
81_1,81,81.jpg,1,craze,craze,256,197,566,538,311,342,106362,0.10143470764160156,0.9093567251461988,411.0,367.5,test,Unspecified,0,0,
81_2,81,81.jpg,2,craze,craze,600,481,1016,870,417,390,162630,0.15509605407714844,1.0692307692307692,808.0,675.5,test,Unspecified,0,0,
82_0,82,82.jpg,0,crack,crack,145,536,414,642,270,107,28890,0.027551651000976562,2.5233644859813085,279.5,589.0,train,Unspecified,0,0,
83_0,83,83.jpg,0,hide_craze,hide_craze,39,694,236,1024,198,331,65538,0.06250190734863281,0.5981873111782477,137.5,859.0,train,Unspecified,1,0,
83_1,83,83.jpg,1,hide_craze,hide_craze,259,739,1009,861,751,123,92373,0.08809375762939453,6.105691056910569,634.0,800.0,train,Unspecified,0,0,
84_0,84,84.jpg,0,thunderstrike,thunderstrike,620,608,766,872,147,265,38955,0.03715038299560547,0.5547169811320755,693.0,740.0,train,Unspecified,0,0,
85_0,85,85.jpg,0,crack,crack,484,166,542,220,59,55,3245,0.0030946731567382812,1.0727272727272728,513.0,193.0,train,Unspecified,0,0,
86_0,86,86.jpg,0,hide_craze,hide_craze,125,131,464,195,340,65,22100,0.021076202392578125,5.230769230769231,294.5,163.0,train,Unspecified,0,0,
87_0,87,87.jpg,0,craze,craze,133,106,961,710,829,605,501545,0.47831058502197266,1.3702479338842974,547.0,408.0,validation,Unspecified,0,0,
88_0,88,88.jpg,0,crack,crack,580,72,791,370,212,299,63388,0.060451507568359375,0.7090301003344481,685.5,221.0,test,Unspecified,0,0,
89_0,89,89.jpg,0,crack,crack,106,333,191,644,86,312,26832,0.0255889892578125,0.27564102564102566,148.5,488.5,train,Unspecified,0,0,
89_1,89,89.jpg,1,crack,crack,383,100,592,528,210,429,90090,0.08591651916503906,0.48951048951048953,487.5,314.0,train,Unspecified,0,0,
90_0,90,90.jpg,0,surface_injure,surface_injure,69,578,139,1024,71,447,31737,0.030266761779785156,0.15883668903803133,104.0,801.0,train,Unspecified,1,0,
90_1,90,90.jpg,1,surface_injure,surface_injure,1,1,533,233,533,233,124189,0.11843585968017578,2.2875536480686693,267.0,117.0,train,Unspecified,1,0,
90_2,90,90.jpg,2,surface_injure,surface_injure,548,1,1002,556,455,556,252980,0.24126052856445312,0.8183453237410072,775.0,278.5,train,Unspecified,1,0,
91_0,91,91.jpg,0,hide_craze,hide_craze,420,461,625,911,206,451,92906,0.08860206604003906,0.4567627494456763,522.5,686.0,train,Unspecified,0,0,
92_0,92,92.jpg,0,crack,crack,416,35,706,708,291,674,196134,0.18704795837402344,0.4317507418397626,561.0,371.5,train,Unspecified,0,0,
93_0,93,93.jpg,0,craze,craze,233,369,1023,681,791,313,247583,0.2361135482788086,2.527156549520767,628.0,525.0,test,Unspecified,0,0,
94_0,94,94.jpg,0,crack,crack,273,394,319,594,47,201,9447,0.009009361267089844,0.23383084577114427,296.0,494.0,train,Unspecified,0,0,
94_1,94,94.jpg,1,crack,crack,428,266,566,536,139,271,37669,0.03592395782470703,0.5129151291512916,497.0,401.0,train,Unspecified,0,0,
95_0,95,95.jpg,0,corrosion,corrosion,241,530,323,1011,83,482,40006,0.03815269470214844,0.17219917012448133,282.0,770.5,train,Unspecified,0,0,
95_1,95,95.jpg,1,corrosion,corrosion,295,13,423,516,129,504,65016,0.06200408935546875,0.25595238095238093,359.0,264.5,train,Unspecified,0,0,
95_2,95,95.jpg,2,thunderstrike,thunderstrike,600,10,691,69,92,60,5520,0.0052642822265625,1.5333333333333334,645.5,39.5,train,Unspecified,0,0,
96_0,96,96.jpg,0,surface_injure,surface_injure,608,505,739,639,132,135,17820,0.016994476318359375,0.9777777777777777,673.5,572.0,validation,Unspecified,0,0,
96_1,96,96.jpg,1,surface_injure,surface_injure,875,545,1017,653,143,109,15587,0.014864921569824219,1.311926605504587,946.0,599.0,validation,Unspecified,0,0,
97_0,97,97.jpg,0,crack,crack,358,422,616,686,259,265,68635,0.06545543670654297,0.9773584905660377,487.0,554.0,train,Unspecified,0,0,
99_0,99,99.jpg,0,hide_craze,hide_craze,394,513,920,555,527,43,22661,0.02161121368408203,12.255813953488373,657.0,534.0,validation,Unspecified,0,0,
100_0,100,100.jpg,0,thunderstrike,thunderstrike,494,142,842,961,349,820,286180,0.2729225158691406,0.42560975609756097,668.0,551.5,validation,Unspecified,0,0,
101_0,101,101.jpg,0,surface_injure,surface_injure,314,114,659,542,346,429,148434,0.1415576934814453,0.8065268065268065,486.5,328.0,train,Unspecified,0,0,
102_0,102,102.jpg,0,thunderstrike,thunderstrike,475,510,602,722,128,213,27264,0.0260009765625,0.6009389671361502,538.5,616.0,train,Unspecified,0,0,
103_0,103,103.jpg,0,craze,craze,14,383,812,683,799,301,240499,0.22935771942138672,2.654485049833887,413.0,533.0,test,Unspecified,0,0,
104_0,104,104.jpg,0,crack,crack,406,419,697,663,292,245,71540,0.06822586059570312,1.1918367346938776,551.5,541.0,train,Unspecified,0,0,
106_0,106,106.jpg,0,surface_injure,surface_injure,337,805,372,860,36,56,2016,0.001922607421875,0.6428571428571429,354.5,832.5,train,Unspecified,0,0,
106_1,106,106.jpg,1,surface_injure,surface_injure,616,792,653,1002,38,211,8018,0.0076465606689453125,0.18009478672985782,634.5,897.0,train,Unspecified,0,0,
106_2,106,106.jpg,2,surface_injure,surface_injure,619,627,753,705,135,79,10665,0.010170936584472656,1.7088607594936709,686.0,666.0,train,Unspecified,0,0,
106_3,106,106.jpg,3,surface_injure,surface_injure,623,520,661,614,39,95,3705,0.0035333633422851562,0.4105263157894737,642.0,567.0,train,Unspecified,0,0,
106_4,106,106.jpg,4,surface_injure,surface_injure,631,80,698,316,68,237,16116,0.015369415283203125,0.2869198312236287,664.5,198.0,train,Unspecified,0,0,
106_5,106,106.jpg,5,surface_injure,surface_injure,700,92,752,142,53,51,2703,0.0025777816772460938,1.0392156862745099,726.0,117.0,train,Unspecified,0,0,
106_6,106,106.jpg,6,surface_injure,surface_injure,789,11,831,49,43,39,1677,0.0015993118286132812,1.1025641025641026,810.0,30.0,train,Unspecified,0,0,
107_0,107,107.jpg,0,crack,crack,356,99,397,310,42,212,8904,0.00849151611328125,0.19811320754716982,376.5,204.5,train,Unspecified,0,0,
107_1,107,107.jpg,1,crack,crack,472,124,517,353,46,230,10580,0.010089874267578125,0.2,494.5,238.5,train,Unspecified,0,0,
108_0,108,108.jpg,0,thunderstrike,thunderstrike,542,313,911,800,370,488,180560,0.1721954345703125,0.7581967213114754,726.5,556.5,validation,Unspecified,0,0,
108_1,108,108.jpg,1,surface_injure,surface_injure,928,2,1014,781,87,780,67860,0.06471633911132812,0.11153846153846154,971.0,391.5,validation,Unspecified,0,0,
108_2,108,108.jpg,2,surface_injure,surface_injure,342,10,534,935,193,926,178718,0.1704387664794922,0.2084233261339093,438.0,472.5,validation,Unspecified,0,0,
109_0,109,109.jpg,0,surface_injure,surface_injure,180,470,819,549,640,80,51200,0.048828125,8.0,499.5,509.5,train,Unspecified,0,0,
110_0,110,110.jpg,0,surface_injure,surface_injure,41,128,616,213,576,86,49536,0.0472412109375,6.6976744186046515,328.5,170.5,train,Unspecified,0,0,
111_0,111,111.jpg,0,crack,crack,416,263,586,402,171,140,23940,0.022830963134765625,1.2214285714285715,501.0,332.5,validation,Unspecified,0,0,
112_0,112,112.jpg,0,thunderstrike,thunderstrike,250,320,600,695,351,376,131976,0.12586212158203125,0.9335106382978723,425.0,507.5,test,Unspecified,0,0,
112_1,112,112.jpg,1,surface_injure,surface_injure,56,95,691,281,636,187,118932,0.11342239379882812,3.4010695187165774,373.5,188.0,test,Unspecified,0,0,
113_0,113,113.jpg,0,corrosion,corrosion,462,502,572,1024,111,523,58053,0.05536365509033203,0.21223709369024857,517.0,763.0,train,Unspecified,1,0,
113_1,113,113.jpg,1,corrosion,corrosion,536,5,587,488,52,484,25168,0.0240020751953125,0.10743801652892562,561.5,246.5,train,Unspecified,0,0,
114_0,114,114.jpg,0,hide_craze,hide_craze,639,625,691,985,53,361,19133,0.01824665069580078,0.14681440443213298,665.0,805.0,validation,Unspecified,0,0,
114_1,114,114.jpg,1,hide_craze,hide_craze,689,10,773,606,85,597,50745,0.048394203186035156,0.1423785594639866,731.0,308.0,validation,Unspecified,0,0,
115_0,115,115.jpg,0,corrosion,corrosion,302,438,447,977,146,540,78840,0.07518768310546875,0.27037037037037037,374.5,707.5,train,Unspecified,0,0,
115_1,115,115.jpg,1,corrosion,corrosion,406,24,555,427,150,404,60600,0.05779266357421875,0.3712871287128713,480.5,225.5,train,Unspecified,0,0,
