image_a,image_b,exact_duplicate,pixel_duplicate,perceptual_distance,split_a,split_b,cross_split
318.jpg,355.jpg,False,False,1,test,train,True
379.jpg,884.jpg,False,False,1,test,train,True
383.jpg,912.jpg,False,False,1,train,test,True
486.jpg,735.jpg,False,False,1,validation,test,True
543.jpg,551.jpg,False,False,1,validation,test,True
580.jpg,970.jpg,False,False,1,test,train,True
656.jpg,1005.jpg,False,False,1,validation,train,True
706.jpg,718.jpg,False,False,1,validation,test,True
710.jpg,1036.jpg,False,False,1,train,validation,True
716.jpg,1040.jpg,False,False,1,train,test,True
744.jpg,794.jpg,False,False,1,train,test,True
886.jpg,912.jpg,False,False,1,train,test,True
53.jpg,506.jpg,False,False,1,train,train,False
81.jpg,175.jpg,False,False,1,test,test,False
85.jpg,381.jpg,False,False,1,train,train,False
85.jpg,1057.jpg,False,False,1,train,train,False
104.jpg,586.jpg,False,False,1,train,train,False
126.jpg,759.jpg,False,False,1,train,train,False
143.jpg,567.jpg,False,False,1,validation,validation,False
144.jpg,301.jpg,False,False,1,train,train,False
144.jpg,617.jpg,False,False,1,train,train,False
144.jpg,833.jpg,False,False,1,train,train,False
144.jpg,984.jpg,False,False,1,train,train,False
174.jpg,366.jpg,False,False,1,train,train,False
174.jpg,872.jpg,False,False,1,train,train,False
179.jpg,506.jpg,False,False,1,train,train,False
191.jpg,794.jpg,False,False,1,test,test,False
208.jpg,353.jpg,False,False,1,train,train,False
218.jpg,399.jpg,False,False,1,train,train,False
236.jpg,396.jpg,False,False,1,train,train,False
237.jpg,820.jpg,False,False,1,train,train,False
243.jpg,253.jpg,False,False,1,validation,validation,False
264.jpg,335.jpg,False,False,1,train,train,False
301.jpg,631.jpg,False,False,1,train,train,False
301.jpg,766.jpg,False,False,1,train,train,False
466.jpg,924.jpg,False,False,1,train,train,False
482.jpg,928.jpg,False,False,1,train,train,False
516.jpg,942.jpg,False,False,1,train,train,False
531.jpg,948.jpg,False,False,1,train,train,False
543.jpg,956.jpg,False,False,1,validation,validation,False
557.jpg,958.jpg,False,False,1,train,train,False
579.jpg,968.jpg,False,False,1,train,train,False
589.jpg,973.jpg,False,False,1,train,train,False
617.jpg,631.jpg,False,False,1,train,train,False
617.jpg,766.jpg,False,False,1,train,train,False
631.jpg,833.jpg,False,False,1,train,train,False
631.jpg,984.jpg,False,False,1,train,train,False
680.jpg,1016.jpg,False,False,1,train,train,False
704.jpg,1031.jpg,False,False,1,test,test,False
766.jpg,833.jpg,False,False,1,train,train,False
766.jpg,984.jpg,False,False,1,train,train,False
802.jpg,873.jpg,False,False,1,train,train,False
13.jpg,761.jpg,False,False,2,test,train,True
33.jpg,348.jpg,False,False,2,train,validation,True
67.jpg,973.jpg,False,False,2,test,train,True
71.jpg,1035.jpg,False,False,2,test,train,True
88.jpg,137.jpg,False,False,2,test,train,True
88.jpg,763.jpg,False,False,2,test,train,True
96.jpg,804.jpg,False,False,2,validation,train,True
102.jpg,274.jpg,False,False,2,train,test,True
143.jpg,352.jpg,False,False,2,validation,train,True
143.jpg,366.jpg,False,False,2,validation,train,True
143.jpg,872.jpg,False,False,2,validation,train,True
144.jpg,846.jpg,False,False,2,train,validation,True
151.jpg,846.jpg,False,False,2,train,validation,True
174.jpg,567.jpg,False,False,2,train,validation,True
187.jpg,821.jpg,False,False,2,validation,train,True
233.jpg,348.jpg,False,False,2,test,validation,True
234.jpg,256.jpg,False,False,2,test,train,True
258.jpg,296.jpg,False,False,2,train,test,True
343.jpg,445.jpg,False,False,2,train,validation,True
384.jpg,887.jpg,False,False,2,train,test,True
388.jpg,889.jpg,False,False,2,test,train,True
400.jpg,956.jpg,False,False,2,train,validation,True
432.jpg,490.jpg,False,False,2,test,train,True
445.jpg,466.jpg,False,False,2,validation,train,True
457.jpg,918.jpg,False,False,2,test,validation,True
476.jpg,925.jpg,False,False,2,test,train,True
540.jpg,951.jpg,False,False,2,validation,train,True
544.jpg,953.jpg,False,False,2,train,validation,True
551.jpg,956.jpg,False,False,2,test,validation,True
613.jpg,983.jpg,False,False,2,validation,train,True
631.jpg,846.jpg,False,False,2,train,validation,True
689.jpg,1022.jpg,False,False,2,test,train,True
766.jpg,846.jpg,False,False,2,train,validation,True
821.jpg,831.jpg,False,False,2,train,validation,True
846.jpg,937.jpg,False,False,2,validation,train,True
2.jpg,799.jpg,False,False,2,train,train,False
35.jpg,870.jpg,False,False,2,train,train,False
47.jpg,139.jpg,False,False,2,train,train,False
53.jpg,179.jpg,False,False,2,train,train,False
104.jpg,594.jpg,False,False,2,train,train,False
137.jpg,264.jpg,False,False,2,train,train,False
137.jpg,763.jpg,False,False,2,train,train,False
144.jpg,151.jpg,False,False,2,train,train,False
144.jpg,937.jpg,False,False,2,train,train,False
144.jpg,963.jpg,False,False,2,train,train,False
144.jpg,1008.jpg,False,False,2,train,train,False
145.jpg,767.jpg,False,False,2,train,train,False
151.jpg,631.jpg,False,False,2,train,train,False
151.jpg,766.jpg,False,False,2,train,train,False
151.jpg,837.jpg,False,False,2,train,train,False
151.jpg,937.jpg,False,False,2,train,train,False
160.jpg,845.jpg,False,False,2,train,train,False
187.jpg,831.jpg,False,False,2,validation,validation,False
199.jpg,798.jpg,False,False,2,train,train,False
218.jpg,808.jpg,False,False,2,train,train,False
227.jpg,814.jpg,False,False,2,train,train,False
244.jpg,825.jpg,False,False,2,train,train,False
264.jpg,763.jpg,False,False,2,train,train,False
298.jpg,845.jpg,False,False,2,train,train,False
301.jpg,617.jpg,False,False,2,train,train,False
301.jpg,833.jpg,False,False,2,train,train,False
301.jpg,984.jpg,False,False,2,train,train,False
307.jpg,845.jpg,False,False,2,train,train,False
352.jpg,366.jpg,False,False,2,train,train,False
366.jpg,872.jpg,False,False,2,train,train,False
381.jpg,1057.jpg,False,False,2,train,train,False
383.jpg,886.jpg,False,False,2,train,train,False
387.jpg,888.jpg,False,False,2,train,train,False
391.jpg,892.jpg,False,False,2,train,train,False
406.jpg,900.jpg,False,False,2,train,train,False
426.jpg,904.jpg,False,False,2,train,train,False
477.jpg,926.jpg,False,False,2,train,train,False
522.jpg,944.jpg,False,False,2,train,train,False
612.jpg,982.jpg,False,False,2,train,train,False
617.jpg,833.jpg,False,False,2,train,train,False
631.jpg,937.jpg,False,False,2,train,train,False
631.jpg,963.jpg,False,False,2,train,train,False
631.jpg,1008.jpg,False,False,2,train,train,False
688.jpg,1021.jpg,False,False,2,train,train,False
690.jpg,1023.jpg,False,False,2,train,train,False
713.jpg,1038.jpg,False,False,2,train,train,False
722.jpg,1043.jpg,False,False,2,train,train,False
766.jpg,937.jpg,False,False,2,train,train,False
766.jpg,963.jpg,False,False,2,train,train,False
766.jpg,1008.jpg,False,False,2,train,train,False
777.jpg,845.jpg,False,False,2,train,train,False
833.jpg,984.jpg,False,False,2,train,train,False
1007.jpg,1008.jpg,False,False,2,train,train,False
8.jpg,1055.jpg,False,False,3,train,test,True
13.jpg,472.jpg,False,False,3,test,train,True
31.jpg,245.jpg,False,False,3,train,validation,True
67.jpg,589.jpg,False,False,3,test,train,True
80.jpg,139.jpg,False,False,3,validation,train,True
88.jpg,832.jpg,False,False,3,test,train,True
93.jpg,197.jpg,False,False,3,test,train,True
96.jpg,210.jpg,False,False,3,validation,train,True
101.jpg,745.jpg,False,False,3,train,validation,True
109.jpg,445.jpg,False,False,3,train,validation,True
123.jpg,758.jpg,False,False,3,validation,train,True
141.jpg,197.jpg,False,False,3,test,train,True
144.jpg,863.jpg,False,False,3,train,test,True
152.jpg,773.jpg,False,False,3,train,test,True
177.jpg,786.jpg,False,False,3,train,test,True
182.jpg,789.jpg,False,False,3,validation,train,True
196.jpg,245.jpg,False,False,3,test,validation,True
234.jpg,827.jpg,False,False,3,test,train,True
238.jpg,831.jpg,False,False,3,test,validation,True
245.jpg,249.jpg,False,False,3,validation,train,True
245.jpg,796.jpg,False,False,3,validation,train,True
263.jpg,831.jpg,False,False,3,train,validation,True
269.jpg,349.jpg,False,False,3,test,train,True
284.jpg,838.jpg,False,False,3,test,train,True
311.jpg,851.jpg,False,False,3,train,validation,True
328.jpg,851.jpg,False,False,3,train,validation,True
340.jpg,866.jpg,False,False,3,train,validation,True
352.jpg,567.jpg,False,False,3,train,validation,True
366.jpg,567.jpg,False,False,3,train,validation,True
400.jpg,543.jpg,False,False,3,train,validation,True
445.jpg,924.jpg,False,False,3,validation,train,True
567.jpg,872.jpg,False,False,3,validation,train,True
578.jpg,1045.jpg,False,False,3,train,test,True
617.jpg,846.jpg,False,False,3,train,validation,True
631.jpg,863.jpg,False,False,3,train,test,True
687.jpg,1020.jpg,False,False,3,validation,train,True
723.jpg,1044.jpg,False,False,3,train,test,True
766.jpg,863.jpg,False,False,3,train,test,True
833.jpg,846.jpg,False,False,3,train,validation,True
846.jpg,984.jpg,False,False,3,validation,train,True
851.jpg,860.jpg,False,False,3,validation,train,True
14.jpg,750.jpg,False,False,3,train,train,False
78.jpg,1054.jpg,False,False,3,train,train,False
83.jpg,110.jpg,False,False,3,train,train,False
83.jpg,651.jpg,False,False,3,train,train,False
83.jpg,711.jpg,False,False,3,train,train,False
83.jpg,1003.jpg,False,False,3,train,train,False
92.jpg,593.jpg,False,False,3,train,train,False
109.jpg,343.jpg,False,False,3,train,train,False
109.jpg,466.jpg,False,False,3,train,train,False
127.jpg,144.jpg,False,False,3,train,train,False
127.jpg,631.jpg,False,False,3,train,train,False
127.jpg,766.jpg,False,False,3,train,train,False
127.jpg,963.jpg,False,False,3,train,train,False
137.jpg,335.jpg,False,False,3,train,train,False
144.jpg,149.jpg,False,False,3,train,train,False
144.jpg,171.jpg,False,False,3,train,train,False
144.jpg,272.jpg,False,False,3,train,train,False
144.jpg,750.jpg,False,False,3,train,train,False
144.jpg,760.jpg,False,False,3,train,train,False
144.jpg,770.jpg,False,False,3,train,train,False
149.jpg,631.jpg,False,False,3,train,train,False
149.jpg,766.jpg,False,False,3,train,train,False
149.jpg,1028.jpg,False,False,3,train,train,False
150.jpg,202.jpg,False,False,3,train,train,False
150.jpg,804.jpg,False,False,3,train,train,False
151.jpg,301.jpg,False,False,3,train,train,False
151.jpg,617.jpg,False,False,3,train,train,False
151.jpg,833.jpg,False,False,3,train,train,False
151.jpg,984.jpg,False,False,3,train,train,False
164.jpg,275.jpg,False,False,3,train,train,False
170.jpg,782.jpg,False,False,3,train,train,False
171.jpg,631.jpg,False,False,3,train,train,False
171.jpg,766.jpg,False,False,3,train,train,False
174.jpg,352.jpg,False,False,3,train,train,False
210.jpg,804.jpg,False,False,3,train,train,False
216.jpg,271.jpg,False,False,3,test,test,False
220.jpg,810.jpg,False,False,3,train,train,False
253.jpg,803.jpg,False,False,3,validation,validation,False
264.jpg,832.jpg,False,False,3,train,train,False
265.jpg,605.jpg,False,False,3,train,train,False
272.jpg,631.jpg,False,False,3,train,train,False
272.jpg,766.jpg,False,False,3,train,train,False
272.jpg,963.jpg,False,False,3,train,train,False
272.jpg,1008.jpg,False,False,3,train,train,False
301.jpg,937.jpg,False,False,3,train,train,False
301.jpg,963.jpg,False,False,3,train,train,False
301.jpg,1008.jpg,False,False,3,train,train,False
313.jpg,852.jpg,False,False,3,train,train,False
321.jpg,1047.jpg,False,False,3,train,train,False
335.jpg,763.jpg,False,False,3,train,train,False
355.jpg,855.jpg,False,False,3,train,train,False
359.jpg,378.jpg,False,False,3,train,train,False
368.jpg,878.jpg,False,False,3,train,train,False
392.jpg,893.jpg,False,False,3,train,train,False
399.jpg,808.jpg,False,False,3,train,train,False
402.jpg,593.jpg,False,False,3,train,train,False
435.jpg,908.jpg,False,False,3,train,train,False
460.jpg,593.jpg,False,False,3,train,train,False
554.jpg,957.jpg,False,False,3,train,train,False
568.jpg,593.jpg,False,False,3,train,train,False
578.jpg,727.jpg,False,False,3,train,train,False
586.jpg,594.jpg,False,False,3,train,train,False
593.jpg,921.jpg,False,False,3,train,train,False
617.jpg,937.jpg,False,False,3,train,train,False
617.jpg,963.jpg,False,False,3,train,train,False
617.jpg,1008.jpg,False,False,3,train,train,False
617.jpg,1028.jpg,False,False,3,train,train,False
624.jpg,990.jpg,False,False,3,train,train,False
631.jpg,750.jpg,False,False,3,train,train,False
631.jpg,760.jpg,False,False,3,train,train,False
631.jpg,770.jpg,False,False,3,train,train,False
750.jpg,766.jpg,False,False,3,train,train,False
750.jpg,963.jpg,False,False,3,train,train,False
760.jpg,766.jpg,False,False,3,train,train,False
760.jpg,963.jpg,False,False,3,train,train,False
766.jpg,770.jpg,False,False,3,train,train,False
770.jpg,1028.jpg,False,False,3,train,train,False
833.jpg,937.jpg,False,False,3,train,train,False
833.jpg,963.jpg,False,False,3,train,train,False
833.jpg,1008.jpg,False,False,3,train,train,False
833.jpg,1056.jpg,False,False,3,train,train,False
937.jpg,984.jpg,False,False,3,train,train,False
963.jpg,984.jpg,False,False,3,train,train,False
965.jpg,1007.jpg,False,False,3,train,train,False
965.jpg,1008.jpg,False,False,3,train,train,False
973.jpg,1012.jpg,False,False,3,train,train,False
984.jpg,1008.jpg,False,False,3,train,train,False
984.jpg,1028.jpg,False,False,3,train,train,False
45.jpg,914.jpg,False,False,4,train,validation,True
48.jpg,105.jpg,False,False,4,test,train,True
70.jpg,582.jpg,False,False,4,validation,train,True
76.jpg,235.jpg,False,False,4,train,validation,True
81.jpg,785.jpg,False,False,4,test,train,True
96.jpg,202.jpg,False,False,4,validation,train,True
113.jpg,661.jpg,False,False,4,train,validation,True
196.jpg,796.jpg,False,False,4,test,train,True
221.jpg,811.jpg,False,False,4,train,test,True
269.jpg,359.jpg,False,False,4,test,train,True
301.jpg,863.jpg,False,False,4,train,test,True
318.jpg,855.jpg,False,False,4,test,train,True
330.jpg,861.jpg,False,False,4,train,validation,True
400.jpg,551.jpg,False,False,4,train,test,True
479.jpg,927.jpg,False,False,4,test,train,True
495.jpg,661.jpg,False,False,4,train,validation,True
579.jpg,962.jpg,False,False,4,train,validation,True
617.jpg,863.jpg,False,False,4,train,test,True
674.jpg,1013.jpg,False,False,4,validation,train,True
691.jpg,1024.jpg,False,False,4,train,validation,True
708.jpg,1033.jpg,False,False,4,train,validation,True
750.jpg,764.jpg,False,False,4,train,test,True
750.jpg,863.jpg,False,False,4,train,test,True
833.jpg,863.jpg,False,False,4,train,test,True
833.jpg,865.jpg,False,False,4,train,test,True
837.jpg,846.jpg,False,False,4,train,validation,True
846.jpg,963.jpg,False,False,4,validation,train,True
846.jpg,1008.jpg,False,False,4,validation,train,True
863.jpg,984.jpg,False,False,4,test,train,True
954.jpg,1007.jpg,False,False,4,validation,train,True
999.jpg,1007.jpg,False,False,4,test,train,True
6.jpg,979.jpg,False,False,4,train,train,False
14.jpg,144.jpg,False,False,4,train,train,False
14.jpg,631.jpg,False,False,4,train,train,False
14.jpg,766.jpg,False,False,4,train,train,False
31.jpg,796.jpg,False,False,4,train,train,False
78.jpg,837.jpg,False,False,4,train,train,False
98.jpg,979.jpg,False,False,4,train,train,False
109.jpg,924.jpg,False,False,4,train,train,False
113.jpg,495.jpg,False,False,4,train,train,False
127.jpg,301.jpg,False,False,4,train,train,False
127.jpg,617.jpg,False,False,4,train,train,False
127.jpg,750.jpg,False,False,4,train,train,False
127.jpg,833.jpg,False,False,4,train,train,False
127.jpg,984.jpg,False,False,4,train,train,False
144.jpg,436.jpg,False,False,4,train,train,False
144.jpg,622.jpg,False,False,4,train,train,False
144.jpg,684.jpg,False,False,4,train,train,False
144.jpg,837.jpg,False,False,4,train,train,False
144.jpg,874.jpg,False,False,4,train,train,False
144.jpg,915.jpg,False,False,4,train,train,False
144.jpg,1001.jpg,False,False,4,train,train,False
144.jpg,1007.jpg,False,False,4,train,train,False
144.jpg,1028.jpg,False,False,4,train,train,False
144.jpg,1056.jpg,False,False,4,train,train,False
149.jpg,301.jpg,False,False,4,train,train,False
149.jpg,617.jpg,False,False,4,train,train,False
149.jpg,833.jpg,False,False,4,train,train,False
149.jpg,984.jpg,False,False,4,train,train,False
150.jpg,210.jpg,False,False,4,train,train,False
151.jpg,963.jpg,False,False,4,train,train,False
151.jpg,1008.jpg,False,False,4,train,train,False
157.jpg,774.jpg,False,False,4,train,train,False
171.jpg,301.jpg,False,False,4,train,train,False
171.jpg,617.jpg,False,False,4,train,train,False
171.jpg,833.jpg,False,False,4,train,train,False
171.jpg,984.jpg,False,False,4,train,train,False
180.jpg,788.jpg,False,False,4,train,train,False
202.jpg,804.jpg,False,False,4,train,train,False
211.jpg,822.jpg,False,False,4,train,train,False
215.jpg,807.jpg,False,False,4,train,train,False
243.jpg,803.jpg,False,False,4,validation,validation,False
249.jpg,796.jpg,False,False,4,train,train,False
272.jpg,301.jpg,False,False,4,train,train,False
272.jpg,617.jpg,False,False,4,train,train,False
272.jpg,833.jpg,False,False,4,train,train,False
272.jpg,984.jpg,False,False,4,train,train,False
290.jpg,843.jpg,False,False,4,train,train,False
301.jpg,750.jpg,False,False,4,train,train,False
301.jpg,760.jpg,False,False,4,train,train,False
301.jpg,770.jpg,False,False,4,train,train,False
335.jpg,832.jpg,False,False,4,train,train,False
343.jpg,466.jpg,False,False,4,train,train,False
352.jpg,872.jpg,False,False,4,train,train,False
403.jpg,898.jpg,False,False,4,train,train,False
420.jpg,453.jpg,False,False,4,validation,validation,False
436.jpg,631.jpg,False,False,4,train,train,False
436.jpg,684.jpg,False,False,4,train,train,False
436.jpg,766.jpg,False,False,4,train,train,False
436.jpg,915.jpg,False,False,4,train,train,False
452.jpg,916.jpg,False,False,4,train,train,False
465.jpg,923.jpg,False,False,4,train,train,False
466.jpg,548.jpg,False,False,4,train,train,False
492.jpg,933.jpg,False,False,4,train,train,False
558.jpg,1047.jpg,False,False,4,train,train,False
589.jpg,1012.jpg,False,False,4,train,train,False
617.jpg,750.jpg,False,False,4,train,train,False
617.jpg,760.jpg,False,False,4,train,train,False
617.jpg,770.jpg,False,False,4,train,train,False
622.jpg,631.jpg,False,False,4,train,train,False
622.jpg,766.jpg,False,False,4,train,train,False
622.jpg,915.jpg,False,False,4,train,train,False
622.jpg,1007.jpg,False,False,4,train,train,False
622.jpg,1008.jpg,False,False,4,train,train,False
631.jpg,684.jpg,False,False,4,train,train,False
631.jpg,837.jpg,False,False,4,train,train,False
631.jpg,874.jpg,False,False,4,train,train,False
631.jpg,915.jpg,False,False,4,train,train,False
631.jpg,1001.jpg,False,False,4,train,train,False
631.jpg,1007.jpg,False,False,4,train,train,False
631.jpg,1028.jpg,False,False,4,train,train,False
631.jpg,1056.jpg,False,False,4,train,train,False
683.jpg,1018.jpg,False,False,4,train,train,False
684.jpg,766.jpg,False,False,4,train,train,False
717.jpg,1041.jpg,False,False,4,train,train,False
750.jpg,760.jpg,False,False,4,train,train,False
750.jpg,833.jpg,False,False,4,train,train,False
750.jpg,984.jpg,False,False,4,train,train,False
760.jpg,833.jpg,False,False,4,train,train,False
760.jpg,984.jpg,False,False,4,train,train,False
765.jpg,797.jpg,False,False,4,validation,validation,False
766.jpg,837.jpg,False,False,4,train,train,False
766.jpg,874.jpg,False,False,4,train,train,False
766.jpg,915.jpg,False,False,4,train,train,False
766.jpg,1001.jpg,False,False,4,train,train,False
766.jpg,1007.jpg,False,False,4,train,train,False
766.jpg,1028.jpg,False,False,4,train,train,False
766.jpg,1056.jpg,False,False,4,train,train,False
770.jpg,833.jpg,False,False,4,train,train,False
770.jpg,984.jpg,False,False,4,train,train,False
837.jpg,937.jpg,False,False,4,train,train,False
874.jpg,937.jpg,False,False,4,train,train,False
937.jpg,963.jpg,False,False,4,train,train,False
937.jpg,1008.jpg,False,False,4,train,train,False
963.jpg,1008.jpg,False,False,4,train,train,False
