sample_id,curated_split
449,train
450,train
451,test
452,train
453,validation
454,train
455,train
456,train
457,test
458,train
459,validation
460,train
461,train
462,validation
463,train
464,test
465,train
466,train
467,train
468,train
469,test
470,train
471,train
472,train
473,test
474,train
475,train
476,test
477,train
478,validation
479,test
480,train
481,train
482,train
483,train
484,validation
485,train
486,validation
487,train
488,train
489,train
490,train
491,train
492,train
493,train
494,train
495,train
496,train
497,validation
498,train
499,train
500,validation
501,test
502,train
503,train
504,train
505,test
506,train
507,train
508,train
509,train
510,train
511,test
512,validation
513,train
514,train
515,train
516,train
517,train
518,train
519,validation
520,train
521,test
522,train
523,train
524,train
525,train
526,validation
527,train
528,train
529,validation
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,validation
541,test
542,train
543,validation
544,train
545,validation
546,test
547,train
548,train
549,validation
550,train
551,test
552,validation
553,train
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,validation
563,test
564,train
565,train
566,test
567,validation
568,train
569,test
570,test
571,train
572,train
573,train
574,test
575,train
576,train
577,train
578,train
579,train
580,test
581,train
582,train
583,train
584,validation
585,train
586,train
587,train
588,train
589,train
590,validation
591,test
592,train
593,train
594,train
595,train
596,train
597,test
598,test
599,train
600,test
601,train
602,validation
603,train
604,train
605,train
606,train
607,train
608,train
609,train
610,test
611,train
612,train
613,validation
614,train
615,train
616,train
617,train
618,train
619,train
620,train
621,validation
622,train
623,test
624,train
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,train
633,test
634,train
635,train
636,train
637,train
638,train
639,train
641,train
642,test
643,test
644,train
645,train
646,validation
647,train
648,train
649,train
650,test
651,train
652,train
653,train
654,validation
655,test
656,validation
657,train
658,test
659,train
660,train
661,validation
662,train
663,test
664,train
665,validation
666,train
667,train
669,validation
670,train
671,test
672,train
673,train
674,validation
675,validation
676,train
677,test
678,train
679,train
680,train
681,train
682,train
683,train
684,train
685,validation
686,test
687,validation
688,train
689,test
690,train
691,train
692,train
693,train
694,train
695,train
696,test
697,train
698,validation
699,test
700,train
701,test
702,train
703,train
704,test
705,train
706,validation
707,train
708,train
709,train
710,train
711,train
712,train
713,train
714,train
715,train
716,train
717,train
718,test
719,train
720,train
721,test
722,train
723,train
724,validation
725,train
726,train
727,train
728,train
729,train
730,validation
731,train
732,train
733,train
734,train
735,test
736,validation
737,train
738,validation
739,validation
740,validation
741,train
742,train
754,train
756,train
757,train
760,train
765,validation
787,validation
797,validation
809,validation
818,train
824,test
827,train
834,train
835,validation
839,train
851,validation
860,train
863,test
864,test
871,train
874,train
875,test
878,train
880,train
883,train
885,train
886,train
893,train
894,train
895,train
898,train
920,validation
923,train
932,train
945,train
955,validation
956,validation
963,train
965,train
968,train
969,train
974,train
980,train
984,train
986,train
992,train
997,train
998,train
1002,train
1004,train
1007,train
1008,train
1010,train
1017,test
1019,train
1046,train
1048,train
1060,train
1061,train
1063,train
1064,train
