sample_id,xml_named_image,embedded_filename_image,primary_declared_filename,secondary_declared_filename,declared_image_exists,primary_object_count,secondary_object_count,primary_classes,secondary_classes,primary_boxes,secondary_boxes,primary_declared_dimensions,secondary_declared_dimensions,xml_named_image_dimensions,embedded_filename_image_dimensions,annotator_agreement_category,annotator_mean_iou,declared_primary_object_count,primary_vs_declared_exact_signature,primary_vs_declared_mean_iou,secondary_vs_declared_exact_signature,secondary_vs_declared_mean_iou,thumbnail_raw_mae,thumbnail_intensity_correlation,thumbnail_normalized_mae,recommended_identity_status,recommendation_confidence,automatic_resolution_applied,evidence_flags,review_required
772,772.jpg,150.jpg,150.jpg,150.jpg,True,2,2,surface_injure;surface_injure,surface_injure;surface_injure,"surface_injure[608,500,737,633];surface_injure[877,541,1019,647]","surface_injure[608,500,737,633];surface_injure[880,546,1023,647]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9545165191928193,2,True,1.0,False,0.9453734671125975,0.3760608149509804,0.7717800643292397,0.496918793357386,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
773,773.jpg,152.jpg,152.jpg,152.jpg,True,2,2,crack;crack,crack;crack,"crack[706,381,752,597];crack[477,261,605,519]","crack[706,381,752,597];crack[479,263,609,515]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.96670830549342,2,True,1.0,False,0.96670830549342,0.29883769914215685,0.9437806287071865,0.2639457939058587,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
774,774.jpg,157.jpg,157.jpg,157.jpg,True,1,1,crack,crack,"crack[436,278,505,749]","crack[436,278,505,749]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,False,0.8985730813729271,0.40064625459558834,0.9988605193615031,0.03677828309595864,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
775,775.jpg,158.jpg,158.jpg,158.jpg,True,2,2,thunderstrike;corrosion,thunderstrike;corrosion,"thunderstrike[870,339,1000,447];corrosion[259,327,356,449]","thunderstrike[870,339,1000,447];corrosion[264,326,358,446]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9503995479861167,2,True,1.0,False,1.0,0.41020986519607844,0.9429365310009181,0.21050894273160164,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
776,776.jpg,159.jpg,159.jpg,159.jpg,True,1,1,crack,crack,"crack[528,149,603,435]","crack[528,149,603,435]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,False,0.9036523929471033,0.3831782322303922,0.811705833353429,0.505724509949492,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
777,777.jpg,160.jpg,160.jpg,160.jpg,True,1,1,corrosion,corrosion,"corrosion[450,10,656,1005]","corrosion[449,9,657,1009]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9854834161054257,1,True,1.0,False,0.9854834161054257,0.10609202665441175,0.9848921311523885,0.13512881518151815,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
778,778.jpg,161.jpg,161.jpg,161.jpg,True,1,1,corrosion,corrosion,"corrosion[450,8,878,1020]","corrosion[450,8,878,1020]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.20962775735294117,0.9078383468066504,0.36724049646500107,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
779,779.jpg,166.jpg,166.jpg,166.jpg,True,1,1,craze,craze,"craze[295,305,584,406]","craze[295,305,584,406]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.26843405330882353,0.993750584183043,0.08752898373409565,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
780,780.jpg,168.jpg,168.jpg,168.jpg,True,1,1,crack,crack,"crack[391,414,694,685]","crack[391,414,694,685]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.10632563572303923,0.9981436877255645,0.05507902118230713,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
781,781.jpg,17.jpg,17.jpg,17.jpg,True,1,1,thunderstrike,thunderstrike,"thunderstrike[277,3,977,489]","thunderstrike[277,3,977,489]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.3530158547794118,0.8452865619458044,0.46742930562404195,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
782,782.jpg,170.jpg,170.jpg,170.jpg,True,3,3,corrosion;corrosion;corrosion,corrosion;corrosion;corrosion,"corrosion[1,1,442,422];corrosion[455,272,748,661];corrosion[753,505,1023,863]","corrosion[1,1,442,422];corrosion[458,275,753,666];corrosion[753,505,1023,863]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.984591714305879,3,True,1.0,False,0.9734347378442562,0.35772441789215687,0.9203881061828749,0.23111256797219293,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
783,783.jpg,172.jpg,172.jpg,172.jpg,True,2,2,craze;craze,craze;craze,"craze[294,260,731,545];craze[756,570,1006,778]","craze[294,260,731,545];craze[759,575,1010,780]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9703694750739136,2,True,1.0,False,1.0,0.3431765088848039,0.6496184106973861,0.6903582642561223,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
784,784.jpg,173.jpg,173.jpg,173.jpg,True,1,1,craze,craze,"craze[94,635,1000,835]","craze[94,635,1000,835]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.39271790747549024,0.7892804628582525,0.5623401656484693,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
785,785.jpg,175.jpg,175.jpg,175.jpg,True,3,3,craze;craze;craze,craze;craze;craze,"craze[1,2,242,197];craze[259,203,592,550];craze[612,495,983,864]","craze[1,2,242,197];craze[259,203,592,550];craze[613,496,978,866]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.99200705345012,3,True,1.0,False,0.99200705345012,0.29387159160539217,0.8298096779669446,0.4990168262684779,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
786,786.jpg,177.jpg,177.jpg,177.jpg,True,1,1,craze,craze,"craze[36,392,647,510]","craze[36,392,647,510]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.3532063802083333,0.8526056074056764,0.43063881463496667,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
788,788.jpg,180.jpg,180.jpg,180.jpg,True,1,1,craze,craze,"craze[287,444,550,928]","craze[288,447,548,923]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9723289597000937,1,True,1.0,False,0.9723289597000937,0.2175656786151961,0.937776291871976,0.24279748003969104,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
789,789.jpg,182.jpg,182.jpg,182.jpg,True,1,1,crack,crack,"crack[391,17,512,731]","crack[386,15,513,732]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9491425835654597,1,True,1.0,False,0.9491425835654597,0.02262274050245098,0.9923492032888117,0.11124378253196919,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
790,790.jpg,183.jpg,183.jpg,183.jpg,True,2,2,crack;crack,crack;crack,"crack[527,14,619,324];crack[344,180,462,402]","crack[527,14,619,324];crack[344,180,462,402]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,2,True,1.0,True,1.0,0.5691157322303919,0.9998370449799587,0.012671277443772885,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
791,791.jpg,186.jpg,186.jpg,186.jpg,True,1,1,thunderstrike,thunderstrike,"thunderstrike[94,345,870,844]","thunderstrike[94,345,870,844]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.416766237745098,0.7242983677926262,0.6523568387624112,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
792,792.jpg,187.jpg,187.jpg,187.jpg,True,2,2,crack;crack,crack;crack,"crack[119,186,305,311];crack[595,53,761,200]","crack[119,186,305,311];crack[599,57,757,201]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9602211055276382,2,True,1.0,False,0.952567803846623,0.18096181832107844,0.8975506750085567,0.346638157999267,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
793,793.jpg,189.jpg,189.jpg,189.jpg,True,1,1,craze,craze,"craze[286,249,709,552]","craze[286,249,709,552]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.1977663526348039,0.9684687750084066,0.19811503934690197,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
794,794.jpg,191.jpg,191.jpg,191.jpg,True,1,1,thunderstrike,thunderstrike,"thunderstrike[505,145,842,903]","thunderstrike[504,142,846,901]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.978994168873108,1,True,1.0,False,0.978994168873108,0.28249751072303925,0.9996089014013115,0.022305799269455855,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
795,795.jpg,195.jpg,195.jpg,195.jpg,True,1,1,craze,craze,"craze[227,319,584,410]","craze[229,314,581,410]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9358808103512867,1,True,1.0,False,,0.13852826286764705,0.9998885406380779,0.01216454608738662,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
796,796.jpg,196.jpg,196.jpg,196.jpg,True,2,2,surface_injure;surface_injure,surface_injure;surface_injure,"surface_injure[12,403,220,724];surface_injure[242,338,608,538]","surface_injure[12,403,220,724];surface_injure[242,338,608,538]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,2,True,1.0,False,0.9774563106796117,0.3589633118872549,0.9887756519923282,0.048295103472076224,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
798,798.jpg,199.jpg,199.jpg,199.jpg,True,1,1,crack,crack,"crack[523,286,625,974]","crack[522,285,623,977]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9656555284191829,1,True,1.0,False,0.9656555284191829,0.13594898897058824,0.9801766539489724,0.14106976500267854,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
799,799.jpg,2.jpg,2.jpg,2.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[500,144,594,220]","surface_injure[500,144,594,220]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.10732421875,0.9971023390037439,0.03451174707057903,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
800,800.jpg,20.jpg,20.jpg,20.jpg,True,1,1,craze,craze,"craze[423,561,786,716]","craze[423,561,786,716]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.5107172947303921,0.5178264781186556,0.4166376837896713,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
801,801.jpg,205.jpg,205.jpg,205.jpg,True,2,2,corrosion;corrosion,corrosion;corrosion,"corrosion[3,217,391,314];corrosion[405,269,900,428]","corrosion[0,222,391,313];corrosion[405,269,900,428]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9660138548882755,3,False,1.0,False,0.975766647286582,0.1430252374387255,0.9339973954429425,0.2851127320780148,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml,True
802,802.jpg,208.jpg,208.jpg,208.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[502,524,845,747]","surface_injure[500,520,849,751]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9489655172413793,1,True,1.0,False,,0.24858685661764704,0.9773620018476545,0.12327463070695888,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
803,803.jpg,21.jpg,21.jpg,21.jpg,True,1,1,craze,craze,"craze[547,417,655,775]","craze[547,417,655,775]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.20756835937500004,0.9643089939542048,0.10673121331892668,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
