review_id,instance_id,source_image_id,method,condition_id,selection_event,eligibility_rule,true_label,clean_asset,degraded_asset
P9A-030,864_0,864,resnet18,brightness_severe,severe_harmful_flip,consensus,surface_injure,pass_a/assets/P9A-030/clean.png,pass_a/assets/P9A-030/degraded.png
P9A-031,48_0,48,resnet18,brightness_severe,severe_stable_wrong,consensus,surface_injure,pass_a/assets/P9A-031/clean.png,pass_a/assets/P9A-031/degraded.png
P9A-032,51_0,51,mobilenet_v3_small,brightness_severe,severe_stable_wrong,consensus,craze,pass_a/assets/P9A-032/clean.png,pass_a/assets/P9A-032/degraded.png
P9A-033,51_0,51,resnet18,jpeg_severe,severe_stable_wrong,majority,craze,pass_a/assets/P9A-033/clean.png,pass_a/assets/P9A-033/degraded.png
P9A-034,88_0,88,resnet18,brightness_severe,severe_stable_wrong,majority,crack,pass_a/assets/P9A-034/clean.png,pass_a/assets/P9A-034/degraded.png
P9A-035,142_0,142,resnet18,jpeg_severe,severe_stable_wrong,consensus,surface_injure,pass_a/assets/P9A-035/clean.png,pass_a/assets/P9A-035/degraded.png
P9A-036,323_0,323,resnet18,jpeg_severe,severe_stable_wrong,consensus,corrosion,pass_a/assets/P9A-036/clean.png,pass_a/assets/P9A-036/degraded.png
P9A-037,464_1,464,mobilenet_v3_small,gaussian_blur_severe,severe_stable_wrong,consensus,hide_craze,pass_a/assets/P9A-037/clean.png,pass_a/assets/P9A-037/degraded.png
P9A-038,546_0,546,resnet18,gaussian_blur_severe,severe_stable_wrong,consensus,corrosion,pass_a/assets/P9A-038/clean.png,pass_a/assets/P9A-038/degraded.png
P9A-039,13_0,13,resnet18,brightness_severe,severe_stable_correct,consensus,hide_craze,pass_a/assets/P9A-039/clean.png,pass_a/assets/P9A-039/degraded.png
P9A-040,71_0,71,resnet18,brightness_severe,severe_stable_correct,consensus,craze,pass_a/assets/P9A-040/clean.png,pass_a/assets/P9A-040/degraded.png
P9A-041,103_0,103,resnet18,brightness_severe,severe_stable_correct,consensus,craze,pass_a/assets/P9A-041/clean.png,pass_a/assets/P9A-041/degraded.png
P9A-042,112_1,112,resnet18,brightness_severe,severe_stable_correct,consensus,surface_injure,pass_a/assets/P9A-042/clean.png,pass_a/assets/P9A-042/degraded.png
P9A-043,161_0,161,resnet18,brightness_severe,severe_stable_correct,consensus,corrosion,pass_a/assets/P9A-043/clean.png,pass_a/assets/P9A-043/degraded.png
P9A-044,250_0,250,resnet18,brightness_severe,severe_stable_correct,consensus,crack,pass_a/assets/P9A-044/clean.png,pass_a/assets/P9A-044/degraded.png
P9A-045,322_0,322,resnet18,brightness_severe,severe_stable_correct,consensus,corrosion,pass_a/assets/P9A-045/clean.png,pass_a/assets/P9A-045/degraded.png
P9A-046,686_0,686,resnet18,brightness_severe,severe_stable_correct,consensus,thunderstrike,pass_a/assets/P9A-046/clean.png,pass_a/assets/P9A-046/degraded.png
P9A-047,88_0,88,resnet18,gaussian_blur_moderate,beneficial_flip,majority,crack,pass_a/assets/P9A-047/clean.png,pass_a/assets/P9A-047/degraded.png
P9A-048,142_0,142,resnet18,gaussian_blur_moderate,beneficial_flip,consensus,surface_injure,pass_a/assets/P9A-048/clean.png,pass_a/assets/P9A-048/degraded.png
P9A-049,142_0,142,resnet18,gaussian_blur_severe,beneficial_flip,consensus,surface_injure,pass_a/assets/P9A-049/clean.png,pass_a/assets/P9A-049/degraded.png
P9A-050,228_1,228,resnet18,brightness_severe,beneficial_flip,consensus,hide_craze,pass_a/assets/P9A-050/clean.png,pass_a/assets/P9A-050/degraded.png
P9A-051,546_0,546,mobilenet_v3_small,brightness_severe,beneficial_flip,consensus,corrosion,pass_a/assets/P9A-051/clean.png,pass_a/assets/P9A-051/degraded.png
P9A-052,546_1,546,mobilenet_v3_small,brightness_severe,beneficial_flip,consensus,corrosion,pass_a/assets/P9A-052/clean.png,pass_a/assets/P9A-052/degraded.png
P9A-053,46_0,46,resnet18,brightness_severe,seed_disagreement,seed_disagreement,corrosion,pass_a/assets/P9A-053/clean.png,pass_a/assets/P9A-053/degraded.png
P9A-054,46_1,46,resnet18,brightness_severe,seed_disagreement,seed_disagreement,corrosion,pass_a/assets/P9A-054/clean.png,pass_a/assets/P9A-054/degraded.png
P9A-055,48_0,48,resnet18,brightness_mild,seed_disagreement,seed_disagreement,surface_injure,pass_a/assets/P9A-055/clean.png,pass_a/assets/P9A-055/degraded.png
P9A-056,51_0,51,resnet18,brightness_mild,seed_disagreement,seed_disagreement,craze,pass_a/assets/P9A-056/clean.png,pass_a/assets/P9A-056/degraded.png
P9A-057,51_0,51,resnet18,brightness_moderate,seed_disagreement,seed_disagreement,craze,pass_a/assets/P9A-057/clean.png,pass_a/assets/P9A-057/degraded.png
P9A-058,54_0,54,resnet18,brightness_severe,seed_disagreement,seed_disagreement,hide_craze,pass_a/assets/P9A-058/clean.png,pass_a/assets/P9A-058/degraded.png
P9A-059,88_0,88,resnet18,brightness_mild,seed_disagreement,seed_disagreement,crack,pass_a/assets/P9A-059/clean.png,pass_a/assets/P9A-059/degraded.png
P9A-060,112_0,112,resnet18,brightness_mild,seed_disagreement,seed_disagreement,thunderstrike,pass_a/assets/P9A-060/clean.png,pass_a/assets/P9A-060/degraded.png
