instance_id,source_image_id,split,canonical_label,class_id
47_0,47,train,craze,0
47_1,47,train,craze,0
47_2,47,train,craze,0
48_0,48,test,surface_injure,2
49_0,49,train,craze,0
50_0,50,train,craze,0
50_1,50,train,craze,0
50_2,50,train,craze,0
51_0,51,test,craze,0
51_1,51,test,craze,0
52_0,52,train,thunderstrike,3
53_0,53,train,crack,4
54_0,54,test,hide_craze,5
54_1,54,test,hide_craze,5
55_0,55,validation,hide_craze,5
56_0,56,train,hide_craze,5
56_1,56,train,hide_craze,5
56_2,56,train,hide_craze,5
56_3,56,train,hide_craze,5
57_0,57,test,craze,0
57_1,57,test,surface_injure,2
58_0,58,train,hide_craze,5
59_0,59,validation,crack,4
60_0,60,validation,thunderstrike,3
60_1,60,validation,hide_craze,5
61_0,61,test,craze,0
61_1,61,test,craze,0
61_2,61,test,craze,0
62_0,62,validation,thunderstrike,3
62_1,62,validation,hide_craze,5
63_0,63,train,surface_injure,2
63_1,63,train,surface_injure,2
64_0,64,train,corrosion,1
65_0,65,test,corrosion,1
66_0,66,train,crack,4
66_1,66,train,crack,4
67_0,67,test,hide_craze,5
68_0,68,train,hide_craze,5
68_1,68,train,hide_craze,5
69_0,69,validation,crack,4
69_1,69,validation,crack,4
70_0,70,validation,crack,4
70_1,70,validation,crack,4
71_0,71,test,craze,0
72_0,72,validation,corrosion,1
73_0,73,test,craze,0
74_0,74,train,craze,0
75_0,75,train,surface_injure,2
75_1,75,train,surface_injure,2
76_0,76,train,craze,0
77_0,77,validation,thunderstrike,3
78_0,78,train,crack,4
79_0,79,train,craze,0
81_0,81,test,craze,0
81_1,81,test,craze,0
81_2,81,test,craze,0
82_0,82,train,crack,4
83_0,83,train,hide_craze,5
83_1,83,train,hide_craze,5
84_0,84,train,thunderstrike,3
85_0,85,train,crack,4
86_0,86,train,hide_craze,5
87_0,87,validation,craze,0
88_0,88,test,crack,4
89_0,89,train,crack,4
89_1,89,train,crack,4
90_0,90,train,surface_injure,2
90_1,90,train,surface_injure,2
90_2,90,train,surface_injure,2
91_0,91,train,hide_craze,5
92_0,92,train,crack,4
93_0,93,test,craze,0
94_0,94,train,crack,4
94_1,94,train,crack,4
95_0,95,train,corrosion,1
95_1,95,train,corrosion,1
95_2,95,train,thunderstrike,3
96_0,96,validation,surface_injure,2
96_1,96,validation,surface_injure,2
97_0,97,train,crack,4
99_0,99,validation,hide_craze,5
100_0,100,validation,thunderstrike,3
101_0,101,train,surface_injure,2
102_0,102,train,thunderstrike,3
103_0,103,test,craze,0
104_0,104,train,crack,4
106_0,106,train,surface_injure,2
106_1,106,train,surface_injure,2
106_2,106,train,surface_injure,2
106_3,106,train,surface_injure,2
106_4,106,train,surface_injure,2
106_5,106,train,surface_injure,2
106_6,106,train,surface_injure,2
107_0,107,train,crack,4
107_1,107,train,crack,4
108_0,108,validation,thunderstrike,3
108_1,108,validation,surface_injure,2
108_2,108,validation,surface_injure,2
109_0,109,train,surface_injure,2
110_0,110,train,surface_injure,2
111_0,111,validation,crack,4
112_0,112,test,thunderstrike,3
112_1,112,test,surface_injure,2
113_0,113,train,corrosion,1
113_1,113,train,corrosion,1
114_0,114,validation,hide_craze,5
114_1,114,validation,hide_craze,5
115_0,115,train,corrosion,1
115_1,115,train,corrosion,1
116_0,116,train,surface_injure,2
116_1,116,train,hide_craze,5
116_2,116,train,hide_craze,5
117_0,117,validation,craze,0
118_0,118,train,surface_injure,2
119_0,119,train,thunderstrike,3
120_0,120,train,corrosion,1
121_0,121,train,hide_craze,5
122_0,122,train,hide_craze,5
122_1,122,train,hide_craze,5
123_0,123,validation,craze,0
123_1,123,validation,craze,0
123_2,123,validation,craze,0
124_0,124,train,hide_craze,5
125_0,125,train,hide_craze,5
125_1,125,train,hide_craze,5
126_0,126,train,craze,0
126_1,126,train,craze,0
126_2,126,train,craze,0
126_3,126,train,surface_injure,2
127_0,127,train,surface_injure,2
127_1,127,train,surface_injure,2
128_0,128,validation,surface_injure,2
129_0,129,train,hide_craze,5
130_0,130,train,crack,4
130_1,130,train,crack,4
131_0,131,validation,surface_injure,2
132_0,132,train,corrosion,1
132_1,132,train,corrosion,1
133_0,133,train,crack,4
134_0,134,train,crack,4
136_0,136,train,crack,4
138_0,138,train,hide_craze,5
140_0,140,train,hide_craze,5
140_1,140,train,hide_craze,5
142_0,142,test,surface_injure,2
143_0,143,validation,crack,4
144_0,144,train,hide_craze,5
144_1,144,train,hide_craze,5
144_2,144,train,hide_craze,5
144_3,144,train,hide_craze,5
145_0,145,train,surface_injure,2
146_0,146,test,hide_craze,5
147_0,147,train,hide_craze,5
148_0,148,train,hide_craze,5
148_1,148,train,hide_craze,5
149_0,149,train,surface_injure,2
151_0,151,train,hide_craze,5
152_0,152,train,crack,4
152_1,152,train,crack,4
153_0,153,train,craze,0
154_0,154,train,corrosion,1
154_1,154,train,corrosion,1
155_0,155,train,thunderstrike,3
155_1,155,train,surface_injure,2
155_2,155,train,surface_injure,2
155_3,155,train,surface_injure,2
155_4,155,train,surface_injure,2
156_0,156,test,craze,0
157_0,157,train,crack,4
158_0,158,train,thunderstrike,3
158_1,158,train,corrosion,1
159_0,159,train,crack,4
160_0,160,train,corrosion,1
161_0,161,test,corrosion,1
162_0,162,train,corrosion,1
162_1,162,train,corrosion,1
163_0,163,test,hide_craze,5
164_0,164,train,crack,4
165_0,165,validation,corrosion,1
165_1,165,validation,corrosion,1
166_0,166,test,craze,0
167_0,167,test,craze,0
167_1,167,test,craze,0
168_0,168,train,crack,4
169_0,169,validation,surface_injure,2
169_1,169,validation,craze,0
170_0,170,train,corrosion,1
170_1,170,train,corrosion,1
170_2,170,train,corrosion,1
171_0,171,train,hide_craze,5
171_1,171,train,hide_craze,5
172_0,172,train,craze,0
172_1,172,train,craze,0
173_0,173,train,craze,0
176_0,176,train,crack,4
176_1,176,train,crack,4
177_0,177,train,craze,0
178_0,178,test,surface_injure,2
178_1,178,test,surface_injure,2
178_2,178,test,surface_injure,2
180_0,180,train,craze,0
181_0,181,train,craze,0
182_0,182,validation,crack,4
183_0,183,train,crack,4
183_1,183,train,crack,4
184_0,184,train,craze,0
184_1,184,train,craze,0
185_0,185,train,hide_craze,5
185_1,185,train,hide_craze,5
186_0,186,train,thunderstrike,3
187_0,187,validation,crack,4
187_1,187,validation,crack,4
188_0,188,train,crack,4
188_1,188,train,crack,4
190_0,190,train,surface_injure,2
192_0,192,train,surface_injure,2
192_1,192,train,hide_craze,5
192_2,192,train,hide_craze,5
193_0,193,train,craze,0
194_0,194,validation,thunderstrike,3
194_1,194,validation,thunderstrike,3
195_0,195,train,craze,0
198_0,198,test,craze,0
198_1,198,test,hide_craze,5
199_0,199,train,crack,4
200_0,200,train,surface_injure,2
200_1,200,train,surface_injure,2
201_0,201,train,crack,4
201_1,201,train,crack,4
203_0,203,validation,crack,4
203_1,203,validation,crack,4
204_0,204,train,thunderstrike,3
205_0,205,validation,corrosion,1
205_1,205,validation,corrosion,1
205_2,205,validation,thunderstrike,3
206_0,206,train,crack,4
207_0,207,train,corrosion,1
207_1,207,train,corrosion,1
208_0,208,train,surface_injure,2
209_0,209,test,hide_craze,5
211_0,211,train,crack,4
211_1,211,train,crack,4
212_0,212,train,crack,4
213_0,213,train,craze,0
214_0,214,test,craze,0
215_0,215,train,craze,0
216_0,216,test,crack,4
217_0,217,test,surface_injure,2
218_0,218,train,corrosion,1
218_1,218,train,corrosion,1
219_0,219,validation,craze,0
219_1,219,validation,craze,0
219_2,219,validation,craze,0
220_0,220,train,hide_craze,5
220_1,220,train,hide_craze,5
221_0,221,train,crack,4
221_1,221,train,crack,4
222_0,222,train,surface_injure,2
222_1,222,train,surface_injure,2
223_0,223,train,thunderstrike,3
224_0,224,test,hide_craze,5
225_0,225,validation,crack,4
226_0,226,train,crack,4
227_0,227,train,corrosion,1
228_0,228,test,hide_craze,5
228_1,228,test,hide_craze,5
229_0,229,train,crack,4
230_0,230,validation,corrosion,1
230_1,230,validation,corrosion,1
231_0,231,train,crack,4
232_0,232,train,thunderstrike,3
234_0,234,test,surface_injure,2
234_1,234,test,hide_craze,5
234_2,234,test,hide_craze,5
234_3,234,test,hide_craze,5
234_4,234,test,hide_craze,5
236_0,236,train,craze,0
236_1,236,train,craze,0
237_0,237,train,surface_injure,2
237_1,237,train,hide_craze,5
238_0,238,test,crack,4
238_1,238,test,crack,4
239_0,239,train,corrosion,1
239_1,239,train,corrosion,1
240_0,240,train,hide_craze,5
240_1,240,train,hide_craze,5
240_2,240,train,hide_craze,5
240_3,240,train,hide_craze,5
241_0,241,train,hide_craze,5
242_0,242,train,craze,0
242_1,242,train,craze,0
243_0,243,validation,craze,0
244_0,244,train,hide_craze,5
246_0,246,validation,surface_injure,2
247_0,247,train,surface_injure,2
248_0,248,validation,corrosion,1
248_1,248,validation,corrosion,1
250_0,250,test,crack,4
251_0,251,train,craze,0
251_1,251,train,craze,0
251_2,251,train,craze,0
252_0,252,test,crack,4
254_0,254,validation,hide_craze,5
255_0,255,test,surface_injure,2
255_1,255,test,surface_injure,2
257_0,257,test,surface_injure,2
257_1,257,test,surface_injure,2
258_0,258,train,craze,0
259_0,259,train,surface_injure,2
260_0,260,train,craze,0
261_0,261,train,craze,0
262_0,262,train,hide_craze,5
265_0,265,train,corrosion,1
265_1,265,train,corrosion,1
266_0,266,train,corrosion,1
266_1,266,train,corrosion,1
267_0,267,train,craze,0
267_1,267,train,craze,0
268_0,268,train,hide_craze,5
268_1,268,train,hide_craze,5
269_0,269,test,crack,4
270_0,270,train,craze,0
272_0,272,train,corrosion,1
272_1,272,train,corrosion,1
273_0,273,test,thunderstrike,3
273_1,273,test,surface_injure,2
276_0,276,test,hide_craze,5
276_1,276,test,hide_craze,5
277_0,277,train,crack,4
277_1,277,train,crack,4
278_0,278,train,corrosion,1
278_1,278,train,corrosion,1
279_0,279,train,hide_craze,5
280_0,280,train,hide_craze,5
281_0,281,train,hide_craze,5
281_1,281,train,hide_craze,5
282_0,282,train,corrosion,1
282_1,282,train,corrosion,1
282_2,282,train,corrosion,1
283_0,283,train,surface_injure,2
283_1,283,train,hide_craze,5
284_0,284,test,hide_craze,5
285_0,285,test,surface_injure,2
285_1,285,test,surface_injure,2
286_0,286,train,hide_craze,5
287_0,287,train,surface_injure,2
288_0,288,train,surface_injure,2
289_0,289,train,craze,0
289_1,289,train,craze,0
289_2,289,train,craze,0
290_0,290,train,thunderstrike,3
291_0,291,train,corrosion,1
292_0,292,train,crack,4
293_0,293,train,hide_craze,5
294_0,294,train,corrosion,1
295_0,295,train,surface_injure,2
295_1,295,train,surface_injure,2
297_0,297,train,crack,4
297_1,297,train,crack,4
299_0,299,train,surface_injure,2
299_1,299,train,hide_craze,5
299_2,299,train,hide_craze,5
299_3,299,train,hide_craze,5
299_4,299,train,hide_craze,5
300_0,300,validation,hide_craze,5
301_0,301,train,surface_injure,2
302_0,302,train,corrosion,1
302_1,302,train,corrosion,1
303_0,303,train,craze,0
303_1,303,train,craze,0
304_0,304,train,thunderstrike,3
306_0,306,train,craze,0
308_0,308,train,hide_craze,5
308_1,308,train,hide_craze,5
309_0,309,train,hide_craze,5
310_0,310,train,crack,4
311_0,311,train,surface_injure,2
311_1,311,train,surface_injure,2
311_2,311,train,surface_injure,2
311_3,311,train,surface_injure,2
311_4,311,train,surface_injure,2
311_5,311,train,surface_injure,2
312_0,312,train,craze,0
312_1,312,train,craze,0
313_0,313,train,corrosion,1
313_1,313,train,corrosion,1
314_0,314,validation,surface_injure,2
314_1,314,validation,surface_injure,2
315_0,315,train,crack,4
316_0,316,train,thunderstrike,3
317_0,317,train,corrosion,1
317_1,317,train,corrosion,1
318_0,318,test,crack,4
321_0,321,train,corrosion,1
322_0,322,test,corrosion,1
323_0,323,test,corrosion,1
324_0,324,train,surface_injure,2
325_0,325,train,surface_injure,2
325_1,325,train,surface_injure,2
325_2,325,train,surface_injure,2
326_0,326,test,surface_injure,2
326_1,326,test,craze,0
327_0,327,train,surface_injure,2
329_0,329,train,hide_craze,5
330_0,330,train,craze,0
331_0,331,validation,surface_injure,2
331_1,331,validation,surface_injure,2
331_2,331,validation,surface_injure,2
331_3,331,validation,surface_injure,2
331_4,331,validation,surface_injure,2
332_0,332,test,surface_injure,2
333_0,333,train,thunderstrike,3
334_0,334,train,surface_injure,2
336_0,336,train,thunderstrike,3
337_0,337,train,surface_injure,2
338_0,338,validation,crack,4
339_0,339,train,corrosion,1
340_0,340,train,corrosion,1
340_1,340,train,corrosion,1
342_0,342,train,surface_injure,2
344_0,344,train,crack,4
345_0,345,train,surface_injure,2
345_1,345,train,hide_craze,5
346_0,346,validation,corrosion,1
347_0,347,validation,craze,0
350_0,350,train,hide_craze,5
351_0,351,train,hide_craze,5
351_1,351,train,hide_craze,5
351_2,351,train,craze,0
354_0,354,train,craze,0
356_0,356,train,thunderstrike,3
357_0,357,train,surface_injure,2
358_0,358,train,craze,0
360_0,360,train,surface_injure,2
362_0,362,validation,hide_craze,5
363_0,363,test,surface_injure,2
364_0,364,train,hide_craze,5
365_0,365,train,crack,4
367_0,367,train,crack,4
368_0,368,train,corrosion,1
369_0,369,train,surface_injure,2
370_0,370,test,corrosion,1
370_1,370,test,corrosion,1
370_2,370,test,corrosion,1
371_0,371,validation,corrosion,1
372_0,372,train,hide_craze,5
373_0,373,test,corrosion,1
374_0,374,train,hide_craze,5
375_0,375,train,corrosion,1
376_0,376,train,hide_craze,5
376_1,376,train,hide_craze,5
376_2,376,train,craze,0
377_0,377,train,craze,0
379_0,379,test,hide_craze,5
379_1,379,test,hide_craze,5
380_0,380,train,craze,0
381_0,381,train,crack,4
382_0,382,validation,hide_craze,5
382_1,382,validation,hide_craze,5
382_2,382,validation,craze,0
383_0,383,train,craze,0
384_0,384,train,corrosion,1
385_0,385,train,corrosion,1
385_1,385,train,thunderstrike,3
386_0,386,train,surface_injure,2
386_1,386,train,surface_injure,2
386_2,386,train,surface_injure,2
387_0,387,train,craze,0
388_0,388,test,hide_craze,5
389_0,389,test,crack,4
390_0,390,test,corrosion,1
391_0,391,train,crack,4
392_0,392,train,craze,0
392_1,392,train,craze,0
393_0,393,train,thunderstrike,3
394_0,394,test,crack,4
395_0,395,train,crack,4
397_0,397,train,crack,4
398_0,398,train,hide_craze,5
398_1,398,train,hide_craze,5
398_2,398,train,craze,0
400_0,400,train,thunderstrike,3
400_1,400,train,surface_injure,2
400_2,400,train,surface_injure,2
400_3,400,train,surface_injure,2
400_4,400,train,surface_injure,2
401_0,401,train,crack,4
403_0,403,train,crack,4
403_1,403,train,crack,4
404_0,404,train,craze,0
405_0,405,test,corrosion,1
406_0,406,train,craze,0
407_0,407,test,surface_injure,2
408_0,408,test,corrosion,1
408_1,408,test,corrosion,1
409_0,409,train,hide_craze,5
410_0,410,test,corrosion,1
410_1,410,test,corrosion,1
411_0,411,train,corrosion,1
411_1,411,train,corrosion,1
412_0,412,validation,surface_injure,2
412_1,412,validation,surface_injure,2
413_0,413,train,surface_injure,2
413_1,413,train,surface_injure,2
413_2,413,train,surface_injure,2
414_0,414,train,crack,4
415_0,415,train,surface_injure,2
415_1,415,train,craze,0
416_0,416,validation,surface_injure,2
417_0,417,train,hide_craze,5
418_0,418,train,crack,4
419_0,419,train,crack,4
420_0,420,validation,hide_craze,5
421_0,421,train,surface_injure,2
421_1,421,train,surface_injure,2
422_0,422,train,hide_craze,5
422_1,422,train,hide_craze,5
423_0,423,train,corrosion,1
423_1,423,train,hide_craze,5
424_0,424,train,surface_injure,2
424_1,424,train,hide_craze,5
424_2,424,train,hide_craze,5
425_0,425,train,corrosion,1
426_0,426,train,hide_craze,5
427_0,427,train,surface_injure,2
427_1,427,train,surface_injure,2
427_2,427,train,surface_injure,2
428_0,428,train,surface_injure,2
429_0,429,train,craze,0
430_0,430,train,corrosion,1
430_1,430,train,corrosion,1
430_2,430,train,corrosion,1
431_0,431,train,crack,4
432_0,432,test,surface_injure,2
433_0,433,validation,crack,4
434_0,434,train,surface_injure,2
434_1,434,train,surface_injure,2
435_0,435,train,craze,0
436_0,436,train,craze,0
436_1,436,train,hide_craze,5
437_0,437,train,thunderstrike,3
438_0,438,test,hide_craze,5
439_0,439,train,hide_craze,5
440_0,440,test,crack,4
441_0,441,validation,surface_injure,2
442_0,442,train,corrosion,1
442_1,442,train,corrosion,1
442_2,442,train,corrosion,1
443_0,443,train,crack,4
444_0,444,train,craze,0
446_0,446,train,hide_craze,5
447_0,447,test,crack,4
447_1,447,test,crack,4
448_0,448,validation,hide_craze,5
449_0,449,train,hide_craze,5
450_0,450,train,hide_craze,5
451_0,451,test,corrosion,1
452_0,452,train,hide_craze,5
453_0,453,validation,hide_craze,5
454_0,454,train,craze,0
455_0,455,train,crack,4
456_0,456,train,hide_craze,5
456_1,456,train,hide_craze,5
457_0,457,test,hide_craze,5
457_1,457,test,hide_craze,5
457_2,457,test,hide_craze,5
458_0,458,train,surface_injure,2
459_0,459,validation,corrosion,1
459_1,459,validation,corrosion,1
461_0,461,train,thunderstrike,3
462_0,462,validation,surface_injure,2
462_1,462,validation,surface_injure,2
462_2,462,validation,surface_injure,2
462_3,462,validation,surface_injure,2
463_0,463,train,hide_craze,5
464_0,464,test,craze,0
464_1,464,test,hide_craze,5
465_0,465,train,crack,4
467_0,467,train,corrosion,1
467_1,467,train,corrosion,1
467_2,467,train,thunderstrike,3
468_0,468,train,hide_craze,5
468_1,468,train,hide_craze,5
469_0,469,test,craze,0
470_0,470,train,crack,4
471_0,471,train,crack,4
473_0,473,test,crack,4
474_0,474,train,surface_injure,2
475_0,475,train,surface_injure,2
475_1,475,train,surface_injure,2
475_2,475,train,surface_injure,2
476_0,476,test,surface_injure,2
477_0,477,train,hide_craze,5
478_0,478,validation,surface_injure,2
478_1,478,validation,surface_injure,2
479_0,479,test,surface_injure,2
479_1,479,test,thunderstrike,3
480_0,480,train,corrosion,1
480_1,480,train,corrosion,1
480_2,480,train,corrosion,1
481_0,481,train,corrosion,1
481_1,481,train,corrosion,1
481_2,481,train,corrosion,1
482_0,482,train,craze,0
483_0,483,train,hide_craze,5
484_0,484,validation,surface_injure,2
484_1,484,validation,surface_injure,2
484_2,484,validation,surface_injure,2
485_0,485,train,corrosion,1
486_0,486,validation,crack,4
487_0,487,train,surface_injure,2
487_1,487,train,surface_injure,2
488_0,488,train,thunderstrike,3
489_0,489,train,corrosion,1
489_1,489,train,corrosion,1
489_2,489,train,corrosion,1
491_0,491,train,corrosion,1
492_0,492,train,surface_injure,2
493_0,493,train,surface_injure,2
493_1,493,train,surface_injure,2
493_2,493,train,surface_injure,2
494_0,494,train,surface_injure,2
494_1,494,train,surface_injure,2
495_0,495,train,corrosion,1
496_0,496,train,hide_craze,5
496_1,496,train,hide_craze,5
497_0,497,validation,hide_craze,5
498_0,498,train,surface_injure,2
498_1,498,train,surface_injure,2
499_0,499,train,surface_injure,2
500_0,500,validation,corrosion,1
501_0,501,test,corrosion,1
502_0,502,train,corrosion,1
503_0,503,train,corrosion,1
503_1,503,train,corrosion,1
504_0,504,train,surface_injure,2
505_0,505,test,corrosion,1
507_0,507,train,crack,4
508_0,508,train,hide_craze,5
509_0,509,train,corrosion,1
510_0,510,train,corrosion,1
510_1,510,train,corrosion,1
511_0,511,test,hide_craze,5
511_1,511,test,hide_craze,5
512_0,512,validation,surface_injure,2
512_1,512,validation,surface_injure,2
513_0,513,train,craze,0
514_0,514,train,surface_injure,2
515_0,515,train,corrosion,1
516_0,516,train,corrosion,1
517_0,517,train,hide_craze,5
518_0,518,train,craze,0
519_0,519,validation,hide_craze,5
520_0,520,train,crack,4
521_0,521,test,corrosion,1
521_1,521,test,corrosion,1
522_0,522,train,surface_injure,2
522_1,522,train,surface_injure,2
523_0,523,train,thunderstrike,3
524_0,524,train,craze,0
525_0,525,train,crack,4
526_0,526,validation,hide_craze,5
527_0,527,train,corrosion,1
527_1,527,train,corrosion,1
527_2,527,train,corrosion,1
528_0,528,train,hide_craze,5
529_0,529,validation,surface_injure,2
530_0,530,train,corrosion,1
531_0,531,train,crack,4
532_0,532,train,surface_injure,2
533_0,533,train,hide_craze,5
534_0,534,train,hide_craze,5
535_0,535,train,surface_injure,2
536_0,536,train,surface_injure,2
537_0,537,train,crack,4
537_1,537,train,crack,4
538_0,538,train,craze,0
539_0,539,train,corrosion,1
539_1,539,train,corrosion,1
540_0,540,validation,corrosion,1
541_0,541,test,hide_craze,5
542_0,542,train,hide_craze,5
544_0,544,train,crack,4
545_0,545,validation,surface_injure,2
546_0,546,test,corrosion,1
546_1,546,test,corrosion,1
546_2,546,test,corrosion,1
547_0,547,train,surface_injure,2
548_0,548,train,crack,4
548_1,548,train,crack,4
549_0,549,validation,corrosion,1
550_0,550,train,corrosion,1
552_0,552,validation,crack,4
553_0,553,train,surface_injure,2
554_0,554,train,craze,0
555_0,555,train,surface_injure,2
556_0,556,train,craze,0
557_0,557,train,hide_craze,5
558_0,558,train,crack,4
559_0,559,train,craze,0
559_1,559,train,craze,0
559_2,559,train,craze,0
560_0,560,train,corrosion,1
560_1,560,train,corrosion,1
561_0,561,train,corrosion,1
562_0,562,validation,crack,4
562_1,562,validation,crack,4
563_0,563,test,craze,0
564_0,564,train,hide_craze,5
565_0,565,train,craze,0
566_0,566,test,corrosion,1
569_0,569,test,hide_craze,5
571_0,571,train,hide_craze,5
572_0,572,train,craze,0
573_0,573,train,surface_injure,2
573_1,573,train,surface_injure,2
574_0,574,test,craze,0
575_0,575,train,craze,0
576_0,576,train,surface_injure,2
576_1,576,train,surface_injure,2
576_2,576,train,surface_injure,2
577_0,577,train,crack,4
578_0,578,train,hide_craze,5
579_0,579,train,corrosion,1
580_0,580,test,craze,0
581_0,581,train,surface_injure,2
583_0,583,train,corrosion,1
584_0,584,validation,crack,4
585_0,585,train,crack,4
587_0,587,train,surface_injure,2
587_1,587,train,hide_craze,5
588_0,588,train,corrosion,1
589_0,589,train,hide_craze,5
590_0,590,validation,corrosion,1
591_0,591,test,thunderstrike,3
591_1,591,test,surface_injure,2
591_2,591,test,surface_injure,2
592_0,592,train,craze,0
595_0,595,train,surface_injure,2
595_1,595,train,hide_craze,5
596_0,596,train,crack,4
597_0,597,test,hide_craze,5
598_0,598,test,corrosion,1
598_1,598,test,corrosion,1
599_0,599,train,corrosion,1
600_0,600,test,hide_craze,5
601_0,601,train,surface_injure,2
602_0,602,validation,crack,4
603_0,603,train,thunderstrike,3
603_1,603,train,surface_injure,2
603_2,603,train,surface_injure,2
604_0,604,train,crack,4
606_0,606,train,surface_injure,2
607_0,607,train,hide_craze,5
608_0,608,train,crack,4
609_0,609,train,craze,0
609_1,609,train,surface_injure,2
610_0,610,test,hide_craze,5
611_0,611,train,corrosion,1
612_0,612,train,hide_craze,5
613_0,613,validation,hide_craze,5
614_0,614,train,hide_craze,5
615_0,615,train,hide_craze,5
615_1,615,train,hide_craze,5
616_0,616,train,hide_craze,5
617_0,617,train,hide_craze,5
618_0,618,train,hide_craze,5
619_0,619,train,hide_craze,5
620_0,620,train,surface_injure,2
621_0,621,validation,hide_craze,5
621_1,621,validation,surface_injure,2
621_2,621,validation,surface_injure,2
622_0,622,train,hide_craze,5
623_0,623,test,hide_craze,5
623_1,623,test,surface_injure,2
624_0,624,train,hide_craze,5
625_0,625,train,hide_craze,5
626_0,626,train,hide_craze,5
627_0,627,train,surface_injure,2
627_1,627,train,surface_injure,2
628_0,628,train,hide_craze,5
628_1,628,train,hide_craze,5
629_0,629,train,surface_injure,2
630_0,630,train,surface_injure,2
631_0,631,train,surface_injure,2
632_0,632,train,craze,0
633_0,633,test,hide_craze,5
634_0,634,train,craze,0
635_0,635,train,surface_injure,2
636_0,636,train,surface_injure,2
636_1,636,train,surface_injure,2
637_0,637,train,craze,0
638_0,638,train,hide_craze,5
639_0,639,train,hide_craze,5
639_1,639,train,surface_injure,2
641_0,641,train,hide_craze,5
641_1,641,train,hide_craze,5
641_2,641,train,craze,0
642_0,642,test,hide_craze,5
642_1,642,test,surface_injure,2
643_0,643,test,hide_craze,5
644_0,644,train,hide_craze,5
645_0,645,train,surface_injure,2
646_0,646,validation,surface_injure,2
647_0,647,train,surface_injure,2
648_0,648,train,hide_craze,5
648_1,648,train,hide_craze,5
649_0,649,train,corrosion,1
650_0,650,test,corrosion,1
651_0,651,train,surface_injure,2
652_0,652,train,hide_craze,5
652_1,652,train,craze,0
653_0,653,train,surface_injure,2
654_0,654,validation,hide_craze,5
655_0,655,test,hide_craze,5
656_0,656,validation,surface_injure,2
657_0,657,train,surface_injure,2
658_0,658,test,corrosion,1
659_0,659,train,thunderstrike,3
660_0,660,train,surface_injure,2
660_1,660,train,craze,0
661_0,661,validation,surface_injure,2
662_0,662,train,surface_injure,2
662_1,662,train,surface_injure,2
663_0,663,test,hide_craze,5
664_0,664,train,surface_injure,2
664_1,664,train,surface_injure,2
665_0,665,validation,hide_craze,5
666_0,666,train,hide_craze,5
666_1,666,train,hide_craze,5
667_0,667,train,hide_craze,5
669_0,669,validation,surface_injure,2
669_1,669,validation,surface_injure,2
670_0,670,train,hide_craze,5
670_1,670,train,surface_injure,2
671_0,671,test,hide_craze,5
671_1,671,test,surface_injure,2
672_0,672,train,surface_injure,2
672_1,672,train,surface_injure,2
672_2,672,train,corrosion,1
673_0,673,train,surface_injure,2
674_0,674,validation,surface_injure,2
675_0,675,validation,hide_craze,5
676_0,676,train,hide_craze,5
676_1,676,train,hide_craze,5
677_0,677,test,hide_craze,5
678_0,678,train,hide_craze,5
679_0,679,train,surface_injure,2
680_0,680,train,corrosion,1
681_0,681,train,surface_injure,2
681_1,681,train,surface_injure,2
682_0,682,train,hide_craze,5
